日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date
2017年3月,100.7,哈尔滨,2,2,2017-03-01
2017年2月,100.8,哈尔滨,2,2,2017-02-01
2017年1月,99.9,哈尔滨,2,2,2017-01-01
2016年12月,100.8,哈尔滨,2,2,2016-12-01
2016年11月,99.8,哈尔滨,2,2,2016-11-01
2016年10月,100.4,哈尔滨,2,2,2016-10-01
2016年9月,100.0,哈尔滨,2,2,2016-09-01
2016年8月,100.2,哈尔滨,2,2,2016-08-01
2016年7月,99.8,哈尔滨,2,2,2016-07-01
2016年6月,100.5,哈尔滨,2,2,2016-06-01
2016年5月,100.3,哈尔滨,2,2,2016-05-01
2016年4月,99.8,哈尔滨,2,2,2016-04-01
2016年3月,100.6,哈尔滨,2,2,2016-03-01
2016年2月,100.0,哈尔滨,2,2,2016-02-01
2016年1月,99.9,哈尔滨,2,2,2016-01-01
2015年12月,100.2,哈尔滨,2,2,2015-12-01
2015年11月,99.9,哈尔滨,2,2,2015-11-01
2015年10月,100.3,哈尔滨,2,2,2015-10-01
2015年9月,100.2,哈尔滨,2,2,2015-09-01
2015年8月,99.7,哈尔滨,2,2,2015-08-01
2015年7月,100.3,哈尔滨,2,2,2015-07-01
2015年6月,100.1,哈尔滨,2,2,2015-06-01
2015年5月,100.0,哈尔滨,2,2,2015-05-01
2015年4月,100.2,哈尔滨,2,2,2015-04-01
2015年3月,99.7,哈尔滨,2,2,2015-03-01
2015年2月,99.5,哈尔滨,2,2,2015-02-01
2015年1月,99.3,哈尔滨,2,2,2015-01-01
2014年12月,99.6,哈尔滨,2,2,2014-12-01
2014年11月,99.6,哈尔滨,2,2,2014-11-01
2014年10月,98.7,哈尔滨,2,2,2014-10-01
2014年9月,99.0,哈尔滨,2,2,2014-09-01
2014年8月,99.1,哈尔滨,2,2,2014-08-01
