,StartDate,EndDate,const,szgrowth(-1),const-p,szgrowth(-1)-p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,0.5583273682649987,0.008448300339036274,7.828398277799705e-09,0.09334103682632233,0.1659661244727002,0.11383900725224394
1,2006-03-01,2007-08-01,0.5682203074351189,0.009501164451408282,4.344955369341904e-09,0.046291310462649525,0.22576734333553883,0.17737780229401
2,2006-04-01,2007-09-01,0.5732966840587655,0.012509199823332203,1.3909596819307873e-07,0.03376571165736779,0.2520111373840651,0.20526183347056914
3,2006-05-01,2007-10-01,0.6420451867084563,0.009846624932820052,5.200851630671513e-07,0.15601660765131148,0.12165944120114391,0.06676315627621543
4,2006-06-01,2007-11-01,0.6433716887900993,0.009590679435378589,4.269312372594183e-07,0.1663165363118391,0.11617592927306242,0.060936924852628804
5,2006-07-01,2007-12-01,0.5872360743351082,0.015493629423710967,2.540160031395842e-07,0.014525413424104858,0.31939133495696614,0.27685329339177656
6,2006-08-01,2008-01-01,0.5752968899124765,0.014866052130906346,1.178819622127169e-06,0.02830065609070649,0.2664668665433767,0.22062104570233776
7,2006-09-01,2008-02-01,0.5683258219397309,0.015357728507370383,6.283036494832109e-07,0.01357485345512221,0.3246036892378008,0.28239141981516336
8,2006-10-01,2008-03-01,0.5773530630055034,0.015182820259012453,3.8707977525546405e-07,0.012909237536400152,0.32845610380665236,0.2864846102945682
9,2006-11-01,2008-04-01,0.587876211054079,0.014104607241539242,1.3765133995930063e-07,0.009912221640835146,0.34842191519998766,0.30769828489998685
10,2006-12-01,2008-05-01,0.588461138878497,0.013966531699158511,1.4014297658337436e-07,0.010512955106743807,0.34401542037684174,0.30301638415039434
11,2007-01-01,2008-06-01,0.5758569452923927,0.014876643318249819,1.6401564218128988e-07,0.007711428397759214,0.3669606203197665,0.3273956590897519
12,2007-02-01,2008-07-01,0.5909468541980647,0.017695421259767804,3.2426780083896535e-08,0.0017073781754227742,0.4692440263088613,0.4360717779531651
13,2007-03-01,2008-08-01,0.5594245549115304,0.017396056172884217,1.267172773348366e-07,0.0028038259066447777,0.4372991934580498,0.40213039304917786
14,2007-04-01,2008-09-01,0.554474574998945,0.01809577470412497,1.5305044387093678e-07,0.00172038611362472,0.4687676173487979,0.43556559343309775
15,2007-05-01,2008-10-01,0.5277964986531907,0.018830451926693997,1.1709155590149722e-06,0.0032102510973699904,0.42829341732108983,0.39256175590365794
16,2007-06-01,2008-11-01,0.5117589257460349,0.02162639634605531,4.788482282718616e-06,0.0016789357655847199,0.4702971279725232,0.43719069847080594
17,2007-07-01,2008-12-01,0.44271691874794994,0.017636253069278747,0.000490490235456545,0.034930524500683624,0.2492146796314214,0.20229059710838526
18,2007-08-01,2009-01-01,0.38042465480976695,0.018096750075749943,0.0023498940066370437,0.037708078888082926,0.24288337649075742,0.19556358752142977
19,2007-09-01,2009-02-01,0.3128199966429911,0.01334082553856815,0.014794296141022895,0.15665882816789536,0.12130666276920288,0.0663883291922781
20,2007-10-01,2009-03-01,0.2098596998594484,0.005125714672849875,0.07364976464121627,0.5768241654974731,0.019878394463934246,-0.04137920588206989
21,2007-11-01,2009-04-01,0.13663206043195605,0.0009507322455002895,0.13044471456182483,0.8911940047380897,0.0012058980395014407,-0.06121873333302963
22,2007-12-01,2009-05-01,0.10315393990746977,-0.0012708583498367663,0.1970057679165648,0.8389501875001115,0.00265989806896183,-0.059673858301728
23,2008-01-01,2009-06-01,0.1419911639602721,0.0003596740261504704,0.09835021723604159,0.9588538863368848,0.000171620131758643,-0.06231765361000652
24,2008-02-01,2009-07-01,0.1656248851458318,0.002551010656708165,0.06705165938829716,0.7213218766960804,0.008170366760129721,-0.05381898531736207
25,2008-03-01,2009-08-01,0.20240031926195315,0.008435822948484595,0.04225024017178146,0.29009843595540835,0.06961122360817062,0.011461925083681268
26,2008-04-01,2009-09-01,0.21121056456566878,0.0039564841486805225,0.044486541604015876,0.6039300760058448,0.017202377289016857,-0.044222474130419576
27,2008-05-01,2009-10-01,0.21414951420473446,0.006498162782021787,0.040401307576096335,0.4250906285249543,0.040189372670312196,-0.019798791537793292
28,2008-06-01,2009-11-01,0.23357012422094248,0.007627087391906055,0.03228406915353399,0.36642447209269824,0.051235418056213344,-0.008062368315273405
29,2008-07-01,2009-12-01,0.26395400632694666,0.009456688602583686,0.024524479353697143,0.29666572289281806,0.06780782761839554,0.009545816844545252
30,2008-08-01,2010-01-01,0.3119981131742625,0.01201640018956031,0.024824514079276647,0.30287973726104067,0.06614487663289115,0.007778931422446789
31,2008-09-01,2010-02-01,0.383305936085581,0.007337755203128987,0.014062228990942269,0.5578063515275864,0.021906049740263778,-0.039224822150969674
32,2008-10-01,2010-03-01,0.4008545790276916,0.006548754195495588,0.011735397087192909,0.619706514206499,0.015754705842014438,-0.045760625042859715
33,2008-11-01,2010-04-01,0.4551318065258485,0.005047959994884509,0.005524712030531388,0.704720539424006,0.009217231284173621,-0.052706691760565416
34,2008-12-01,2010-05-01,0.5560801403784396,-0.01059672658979019,0.0008887736277089028,0.47876602334728247,0.03182884110048223,-0.02868185633073761
35,2009-01-01,2010-06-01,0.5690052249986642,-0.003483551114880405,0.00022217625145117386,0.7879660565498329,0.0046534704703298235,-0.05755568762527452
36,2009-02-01,2010-07-01,0.5923283307517415,-0.0033326241572331572,5.9929720133609715e-05,0.7753406189393782,0.0052383341493049684,-0.05693426996636353
37,2009-03-01,2010-08-01,0.6120928067032878,-0.0015387608645892475,1.7308084389024913e-05,0.8859508388237488,0.0013256578777537387,-0.06109148850488655
