,StartDate,EndDate,Date,const,szgrowth(-1)+,szgrowth(-1),const-p,szgrowth(-1)+p,szgrowth(-1)p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,2006-11-01,0.636448061239723,0.07480845967197594,-0.05742103604950928,5.714839841666189e-06,0.0690404340094751,0.11616186733153933,0.26276786650176376,0.164470248701999
1,2006-03-01,2007-08-01,2006-12-01,0.6489772546119531,0.07362099340652652,-0.05527224390588094,4.139087975296578e-06,0.06755867493300546,0.1228055082456761,0.2922497717053285,0.19788307459937238
2,2006-04-01,2007-09-01,2007-01-01,0.6689786903311776,0.07234592182715582,-0.05184194103977481,1.4345017304335733e-05,0.10132709942978388,0.18578361183655862,0.2871216232175151,0.19207117297985044
3,2006-05-01,2007-10-01,2007-02-01,0.7408625000660112,0.05660724711681006,-0.03969598737307327,1.9466873549378937e-05,0.23318754207130513,0.3449399852556748,0.17410382803485802,0.0639843384395058
4,2006-06-01,2007-11-01,2007-03-01,0.7185634781100857,0.061661548364524824,-0.043499007648834576,3.0918675050800216e-05,0.20625018560572245,0.3142055956204707,0.1887739594579042,0.08061048738562482
5,2006-07-01,2007-12-01,2007-04-01,0.7967257408870186,-0.012852618796823215,0.026852097852985965,1.4136886970094739e-05,0.6065526562208148,0.16243207556143371,0.30296165575360834,0.2100232098540895
6,2006-08-01,2008-01-01,2007-05-01,0.7861399153517978,-0.013004304892314467,0.026076823420487363,5.846367183667026e-05,0.6368562903422089,0.20958704556561622,0.2546903345429067,0.15531571248196097
7,2006-09-01,2008-02-01,2007-06-01,0.818649936530838,-0.012829714622658,0.02375212971533852,5.67311506878875e-05,0.602057626453862,0.15719050756034472,0.2759142718240555,0.17936950806726293
8,2006-10-01,2008-03-01,2007-07-01,0.8054313749818471,-0.011129457643357973,0.02342497652986981,5.4405732900964166e-05,0.6471230481915735,0.1629312666484446,0.28993291535048815,0.19525730406388664
9,2006-11-01,2008-04-01,2007-08-01,0.8205698440942731,-0.009974460446199311,0.02168852534781926,6.11848576617037e-05,0.656865468126286,0.1267953418308132,0.33157745761397805,0.24245445196250848
10,2006-12-01,2008-05-01,2007-09-01,0.7584729951934541,-0.0037050519560027084,0.01802432441075743,0.000282127826651498,0.8778652760683556,0.22962457929026683,0.29221766820162853,0.19784669062851235
11,2007-01-01,2008-06-01,2007-10-01,0.7416746651213535,-0.0011362021236378458,0.01823224788504137,0.00023514093347912413,0.9618293334058782,0.2204247021300668,0.33849810492002386,0.25029785224269374
12,2007-02-01,2008-07-01,2007-11-01,0.670018740677979,0.012720714877184208,0.0158562667260152,0.000843101897102086,0.6226805953734961,0.23483083914377212,0.44736925942314687,0.3736851606795665
13,2007-03-01,2008-08-01,2007-12-01,0.5444223451498384,0.028953033075938106,0.008438245378635386,0.005666490159944856,0.2938764178238601,0.5454936438872462,0.42470722661656823,0.34800152349877733
14,2007-04-01,2008-09-01,2008-01-01,0.44181653870300713,0.03959615861283542,0.0041891543563438265,0.01856351952606754,0.1459009417575187,0.7527134420963695,0.5004640662727178,0.4338592751090802
15,2007-05-01,2008-10-01,2008-02-01,0.37246505572240995,0.04645014775301296,0.0008015307644988253,0.036162480708863305,0.08798972551354398,0.9520865742204735,0.49753332622617186,0.43053776972299473
16,2007-06-01,2008-11-01,2008-03-01,0.42451070593689233,0.03324321186049564,0.011207445957922745,0.032624501737960394,0.28505817562380054,0.3989723751295726,0.4485810164913058,0.3750584853568132
17,2007-07-01,2008-12-01,2008-04-01,0.2992798944866145,0.03386206053474921,0.004096179168743773,0.2627052456540711,0.4377230333755442,0.8263871622983614,0.18519202259039969,0.07655095893578634
18,2007-08-01,2009-01-01,2008-05-01,0.0157191278512136,0.06993910687686315,-0.0077900450384401215,0.9467736960598414,0.08932814166436848,0.6470904689320063,0.3128901234127559,0.2212754732011234
19,2007-09-01,2009-02-01,2008-06-01,-0.0036334309512058016,0.054918802957269294,-0.008872594925278462,0.9897677149190816,0.2973702144983524,0.6605468937196497,0.10515012905346255,-0.014163187072742334
20,2007-10-01,2009-03-01,2008-07-01,0.20345826104982143,-0.018122194511425473,0.002711769190584211,0.4689262303782279,0.7687274357611069,0.8876816265549113,0.00793036196734187,-0.12434558977034582
21,2007-11-01,2009-04-01,2008-08-01,0.10804302920345714,-0.012352027616893479,-0.0026255998618751972,0.6166609906785666,0.7680890245356207,0.8623365346548701,0.04018916248378801,-0.08778561585170697
22,2007-12-01,2009-05-01,2008-09-01,0.154458620364666,-0.022841761795326352,-2.918904756888524e-05,0.4690720396771727,0.588770515452401,0.9984507751156918,0.055329040635828,-0.07062708727939482
23,2008-01-01,2009-06-01,2008-10-01,0.19385467641302162,-0.021476558222212547,0.0017981515022203534,0.39242653960013607,0.6352531840206259,0.9132618634935337,0.029721170516821993,-0.09964934008093507
24,2008-02-01,2009-07-01,2008-11-01,0.12444633903267219,0.001984861258188267,-0.002095690680940709,0.5989724675262847,0.9647754165690413,0.9045844490546463,0.0015677167222080124,-0.1315565877148308
25,2008-03-01,2009-08-01,2008-12-01,0.04292795232856761,0.02564692973190751,-0.0034720057455294604,0.8571520583256408,0.5470032376611291,0.8509249701515265,0.043822580453935944,-0.08366774215220585
26,2008-04-01,2009-09-01,2009-01-01,-0.0639707082076282,0.04972680326463056,-0.01731657584575389,0.8163621186217462,0.295334725827153,0.3645690669049556,0.0727881517350546,-0.0508400947002714
27,2008-05-01,2009-10-01,2009-02-01,0.03745439995312677,0.03561571820322147,-0.009706989656974566,0.8924159360490197,0.46707929020271965,0.6343692012574554,0.039398838509966394,-0.08868131635537146
