,StartDate,EndDate,Date,const,szgrowth(-1),hpgrowth(-1),const-p,szgrowth(-1)-p,hpgrowth(-1)-p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,2006-11-01,0.66228166471035,0.009328041275465174,-0.18485490831265794,0.00023574856425673292,0.07670738873145486,0.42969537346621123,0.20105294112485217,0.09452666660816578
1,2006-03-01,2007-08-01,2006-12-01,0.7382060927387653,0.01120166440195321,-0.29572393320837675,8.218032464739526e-05,0.024813581813061068,0.2083274909789567,0.3057736852462345,0.21321017661239916
2,2006-04-01,2007-09-01,2007-01-01,0.6710702154122491,0.013526357586128388,-0.16591195173298556,0.0026393080753862575,0.03400037258456136,0.5835078732494894,0.26734808036934854,0.16966115775192836
3,2006-05-01,2007-10-01,2007-02-01,0.44706678580264625,0.008379822675903197,0.30647408890656824,0.027552761346675846,0.22702920779108865,0.25662587963040767,0.19619236742358415,0.08901801641339535
4,2006-06-01,2007-11-01,2007-03-01,0.41712851540087026,0.007994308109951914,0.3294770810605395,0.031149636679191163,0.23783285112835298,0.17253116314169314,0.22252668319506863,0.11886357428774452
5,2006-07-01,2007-12-01,2007-04-01,0.38109734774512394,0.014925852776028984,0.2895675034093026,0.05916730445603308,0.0177092795191044,0.25379455083478225,0.37780697157316023,0.29484790111624826
6,2006-08-01,2008-01-01,2007-05-01,0.3037366871739142,0.014278352186033967,0.39867987086939416,0.07313655499400323,0.024481982593356533,0.07320919965684802,0.41196003185390284,0.33355470276775656
7,2006-09-01,2008-02-01,2007-06-01,0.3159446213065863,0.013631753019677005,0.38698852627660807,0.04816827555600992,0.01924362802944899,0.07327286360732652,0.45851265571534705,0.38631434314406
8,2006-10-01,2008-03-01,2007-07-01,0.3526095674415094,0.013277135305511535,0.3551503066135651,0.022631157538617892,0.021414819295801333,0.08617791863747101,0.45173525446117724,0.3786332883893342
9,2006-11-01,2008-04-01,2007-08-01,0.3487627427913523,0.01213551744207351,0.3703897041740345,0.025685509962900484,0.018571972380987147,0.07875779351777668,0.4733555967412785,0.4031363429734489
10,2006-12-01,2008-05-01,2007-09-01,0.3329626412191147,0.011868291554954224,0.4058550556698364,0.022958787373634423,0.017461339355112817,0.04549684093152022,0.5019765884735538,0.4355734669366943
11,2007-01-01,2008-06-01,2007-10-01,0.2976687190359609,0.01178197088056763,0.441519923064159,0.0419881156239172,0.020223025344403817,0.03570845069945863,0.5327933169716446,0.4704990925678638
12,2007-02-01,2008-07-01,2007-11-01,0.3377165261877305,0.013903755258726759,0.4079925009704025,0.015596914338426103,0.0076418823965085985,0.03873287805696568,0.6045333937643496,0.5518045129329295
13,2007-03-01,2008-08-01,2007-12-01,0.28763957784478866,0.013231370025961116,0.4526332778216565,0.027891826133179188,0.010614673542066013,0.020805184030421503,0.6104984242654501,0.5585648808341768
14,2007-04-01,2008-09-01,2008-01-01,0.27945737762324296,0.013295849517918451,0.47840340597037034,0.025129515845656102,0.008572090012936406,0.014214578928052519,0.6487977090158582,0.6019707368846393
15,2007-05-01,2008-10-01,2008-02-01,0.21996902671265922,0.01287361720279065,0.5473032001391506,0.07662556475362457,0.0175181435778993,0.008052038397981338,0.647407390453544,0.6003950425140165
16,2007-06-01,2008-11-01,2008-03-01,0.18407230784521514,0.013404974714694798,0.5868396294358127,0.13550809949650133,0.020515318728151866,0.005131903239423896,0.691012004050264,0.6498136045902991
17,2007-07-01,2008-12-01,2008-04-01,0.05588135232481782,0.010264271034842717,0.8285555309784338,0.5593205494070319,0.048468713627039535,6.806163562090297e-05,0.7475891010005771,0.7139343144673207
18,2007-08-01,2009-01-01,2008-05-01,0.05198690547203935,0.011006792640519366,0.7997204184655726,0.5016052691588864,0.023777051520550787,1.0545430409667847e-05,0.8003264919962412,0.7737033575957399
19,2007-09-01,2009-02-01,2008-06-01,0.03666886230670172,0.010459947600148024,0.8226014927937955,0.6036316866783518,0.03397637792071799,3.950300586399783e-06,0.7962092068894591,0.769037101141387
20,2007-10-01,2009-03-01,2008-07-01,0.012531736080236694,0.007113859752338603,0.77700787056206,0.8347880065541782,0.12109829429958577,2.3081674582188323e-06,0.7881551937623518,0.759909219597332
21,2007-11-01,2009-04-01,2008-08-01,0.03473999488464656,0.007025740460472146,0.6663051783445475,0.5312768183078755,0.11616267432574548,6.076051251837354e-05,0.6691147611964302,0.6249967293559542
22,2007-12-01,2009-05-01,2008-09-01,0.04125197537427058,0.009797869919030346,0.7988892110176143,0.434539784656813,0.050655344503925386,0.00023616452488845987,0.6062363979842255,0.5537345843821222
23,2008-01-01,2009-06-01,2008-10-01,0.0552523301011866,0.010285677555148705,1.0439786636430846,0.18221907004789456,0.009536443585194433,1.5420785795963499e-06,0.7950441214653491,0.7677166709940623
24,2008-02-01,2009-07-01,2008-11-01,0.043725033159417316,0.007959269668546792,0.9563899308507585,0.3185453959887982,0.03123635175490711,1.461595884827259e-06,0.7981107544446139,0.7711921883705624
25,2008-03-01,2009-08-01,2008-12-01,0.04308536890034672,0.010264306734951514,1.0060096538464387,0.33996799139327427,0.00749402759082654,4.335105502801535e-07,0.8386050543548704,0.8170857282688532
26,2008-04-01,2009-09-01,2009-01-01,0.03355195665042081,0.010779832706667724,0.9632285994323302,0.4396698290356513,0.0027334788225557368,1.0200788401256097e-07,0.8591340554352888,0.8403519294933273
27,2008-05-01,2009-10-01,2009-02-01,0.027685622070577134,0.010743326123959703,0.922643760444008,0.5363075617797206,0.004631540925402891,1.6097567319156283e-07,0.8538892936683938,0.8344078661575131
