,StartDate,EndDate,const,szgrowth,szgrowth(-1),const-p,szgrowth-p,szgrowth(-1)-p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,0.5201085828102311,0.005308054670909435,0.008137266563261773,3.1775253011157347e-07,0.25789231318888417,0.10299180531099854,0.23638001322578217,0.13456401498921977
1,2006-03-01,2007-08-01,0.5305852555889341,0.005072601110649888,0.008870355773274056,1.8305652089737394e-07,0.2551372221877317,0.06088191831744791,0.2918605305788615,0.1974419346560431
2,2006-04-01,2007-09-01,0.542277144369248,0.003827862187529566,0.012224910034884642,6.2478029418363266e-06,0.5082048562519844,0.041938462460728965,0.2742409027733699,0.1774730231431525
3,2006-05-01,2007-10-01,0.6118838878240977,0.003928321822753666,0.009467234050697989,1.3785122156457881e-05,0.5719069014398788,0.18343468888512593,0.14078927606258784,0.026227846204266214
4,2006-06-01,2007-11-01,0.6361841880857445,0.0012462468691849648,0.009449223917322825,2.712703036275452e-06,0.8265776693504692,0.18787201444698814,0.11909520224528092,0.0016412292113183735
5,2006-07-01,2007-12-01,0.5855366645050726,0.0002593519164881871,0.015473529637331083,3.019034221094978e-06,0.9654891847654077,0.01849234427082916,0.3194791451900917,0.22874303121543726
6,2006-08-01,2008-01-01,0.5508216451258995,0.004022531760534832,0.014717952977362305,9.972499935690744e-06,0.48593350089264487,0.03295798164496351,0.29060547456050534,0.1960195378352394
7,2006-09-01,2008-02-01,0.5454384815382672,0.004091217915927094,0.015004406332792392,5.204264475959802e-06,0.4759106915512922,0.01784010019699099,0.34785018098806664,0.2608968717864756
8,2006-10-01,2008-03-01,0.5645084693044433,0.0034607282325126183,0.014620562248420788,1.4529224856340743e-06,0.49307324679813713,0.019183215017328132,0.34985156506530524,0.26316510707401264
9,2006-11-01,2008-04-01,0.5724585944619297,0.0036208903873026672,0.013694692314769179,6.915851262563504e-07,0.47331075803401745,0.013984964567689552,0.3711094142275547,0.28725733612456206
10,2006-12-01,2008-05-01,0.5711187363677682,0.005595216280082875,0.013369710492648026,4.0368114619380013e-07,0.25934568056026464,0.013753511117552589,0.39907498218725257,0.3189516464788863
11,2007-01-01,2008-06-01,0.5714205039310112,0.007736204521525535,0.014054380517803307,1.6381819188141001e-07,0.12648396269654402,0.008949238320120902,0.4610308519567379,0.38916829888430293
12,2007-02-01,2008-07-01,0.5851821575678873,0.007863511744969798,0.0170819028947842,2.975258178760442e-08,0.09690624265873202,0.0015624568399515712,0.5610140406917861,0.5024825794506909
13,2007-03-01,2008-08-01,0.5611736681145507,0.008898565187913512,0.016754611170376552,6.459493613851207e-08,0.06056770285610772,0.002124632020882666,0.558499287636594,0.4996325259881398
14,2007-04-01,2008-09-01,0.563569205997007,0.009553095141455328,0.01739045346521453,5.687181036741105e-08,0.048085988363053514,0.0011866290549985524,0.5940948026184326,0.5399741096342237
15,2007-05-01,2008-10-01,0.574977298034663,0.013642657733329983,0.018562579024695186,6.146375945703056e-08,0.007328807926789944,0.0007253385620537378,0.6514721255613027,0.6050017423028098
16,2007-06-01,2008-11-01,0.560500641209646,0.012399324565674549,0.02349213064045577,7.272331869957084e-07,0.02635033995898751,0.0003173968291106191,0.622847736598021,0.5725607681444238
17,2007-07-01,2008-12-01,0.48413837806131843,0.01143674815870719,0.01916366784910139,0.00024122690199849012,0.14449109197019533,0.020678954401582197,0.351664244749164,0.26521947738238594
18,2007-08-01,2009-01-01,0.40268343970878046,0.005665635769544061,0.01869584043102076,0.002726941669005614,0.5180611639640134,0.037288996641043744,0.2643707132822044,0.16628680838649834
19,2007-09-01,2009-02-01,0.31823782714187904,0.001062637393430951,0.013586938129979815,0.026460887479826313,0.9189094055626165,0.1760212712922848,0.1219341662623229,0.004858721763965956
20,2007-10-01,2009-03-01,0.16703961936756065,-0.008402477510252384,0.0026647965058475987,0.18170246945435206,0.3657367617472346,0.7809516777597795,0.07360693566641563,-0.049912139578062176
21,2007-11-01,2009-04-01,0.06392219470777266,-0.014578862395701185,-0.002772367016908757,0.45064997617507585,0.03685601511021061,0.6658687159405933,0.2601127230399962,0.16146108611199572
22,2007-12-01,2009-05-01,0.07015517053645678,-0.010005489259106022,-0.002899605683267401,0.36797974312417514,0.12129989754072674,0.6321115593223537,0.1546763516103633,0.04196653182507848
23,2008-01-01,2009-06-01,0.12774126406228847,-0.005650403229946655,0.00010287649238791149,0.1466448116516501,0.41759597427378703,0.9883622644597625,0.04443656871464474,-0.08297188879006923
24,2008-02-01,2009-07-01,0.16490990044905074,-0.0021529276199129758,0.0028130782464783014,0.07696290898882037,0.7694399775844734,0.7049539678482308,0.014025988083390617,-0.11743721350549063
25,2008-03-01,2009-08-01,0.18983296251177836,-0.006978435691663089,0.00833280956351916,0.058581597009999486,0.34441008222401415,0.29759881075528816,0.12519722220737528,0.008556851835025303
26,2008-04-01,2009-09-01,0.20890323279733178,-0.004402826642291119,0.003749923378971365,0.052392912138477986,0.5959880707925881,0.6313851641218753,0.03605878822610298,-0.09246670667708323
27,2008-05-01,2009-10-01,0.2126812160803222,-0.0041418225378406556,0.006549885484772671,0.047160119194694025,0.6164032683249133,0.43300297826174194,0.056647652786351754,-0.06913266017546804
28,2008-06-01,2009-11-01,0.23468979239382734,-0.002673125294773593,0.007763012351259518,0.037134614171298784,0.7565521481965574,0.3731921977216527,0.057499292179698736,-0.06816746886300806
29,2008-07-01,2009-12-01,0.26724603208059444,-0.001968969141955647,0.009452545499167202,0.029286447756796914,0.8455215139006734,0.31236404458571665,0.07024365291468604,-0.0537238600300225
