,StartDate,EndDate,HP-HP(-1),HP-SZ(-1),HP-HP(-2),HP-SZ(-2),SZ-HP(-1),SZ-SZ(-1),SZ-HP(-2),SZ-SZ(-2),HP-const-p,SZ-const-p,HP-HP(-1)-p,SZ-HP(-1)-p,HP-SZ(-1)-p,SZ-SZ(-1)-p,HP-HP(-2)-p,SZ-HP(-2)-p,HP-SZ(-2)-p,SZ-SZ(-2)-p,A,Date
0,2006-02-01,2007-07-01,0.8583696443244985,-0.003948731884327125,23.57238138239739,0.2543189214876663,-0.14727158397241202,0.0054350680325554466,-17.646390620174202,-0.5940309814632828,0.28822755513855136,0.2943996483666764,0.006936511900138078,0.06429966679283727,0.5140597799234887,0.2943261862085512,0.6726582965723933,0.20650129802633155,0.3940536990748157,0.020103665973702358,2.6322632061118125,2006-11-01
1,2006-03-01,2007-08-01,1.0768316996635507,0.0006667170504205187,19.533071370382935,0.2032263635170052,-0.18145633508763076,0.002159726595479189,-17.639558521462213,-0.4922415406629398,0.7083693596960701,0.204556361266346,0.0003396191145521741,0.10677157101221448,0.91215557538582,0.40400684316233537,0.6117492370352735,0.2207783358993324,0.7156931637388163,0.03939696157598018,8.201628882654742,2006-12-01
2,2006-04-01,2007-09-01,1.4487344830004811,0.003165477129159581,20.36350489836645,0.2148946435696345,-0.2653750991861211,0.004647002438997958,-20.563127290188387,-0.5424807216312455,0.4814206383708958,0.07623306790862275,2.9867956492223492e-05,0.0906403979055682,0.6521694560769292,0.3775608253490764,0.541855981057956,0.17287069668055233,0.4872605907816856,0.019362211573894256,9.87682886122782,2007-01-01
3,2006-05-01,2007-10-01,0.9122514167781288,0.005345048463073412,15.086753884551932,0.2371834853141489,0.13119865818246604,0.003540255555010246,-17.274805197286216,-0.5574744873010951,0.9171253374600812,0.0288653950692484,0.0024853375862963893,0.15308812886042958,0.4434388605837535,0.3314501949150015,0.7722079888729149,0.2763684900717707,0.5938499859019524,0.016483867784249727,8.48059926546965,2007-02-01
4,2006-06-01,2007-11-01,1.1852923096695684,0.008860458545295059,25.966847022636074,0.3793098765041752,-0.4547265123465145,0.004180970764249896,-37.726723342169045,-0.5713644574431859,0.4238620847964514,0.0018251391719399969,0.0006371292891120838,0.02658849862094109,0.2628839594135516,0.15545952175022024,0.2408960507149257,0.003930569753985636,0.5905415902207096,0.02931471181160711,0.9381614373288067,2007-03-01
5,2006-07-01,2007-12-01,1.521415375745977,0.017592608613701738,8.526264421190056,-0.0941778206461175,-0.8673480321151972,0.0022837277355961852,-17.00030736917401,-0.4894236333664431,0.7161684920473836,0.0026780004339500346,5.132200546261394e-07,0.4343371731699899,0.01227672610831172,0.7095811026898409,0.0040538105312900845,0.1175907352489718,0.7853455892025533,0.10488672281554463,8.436068860432046,2007-04-01
6,2006-08-01,2008-01-01,1.0393970818091258,0.0191874926698714,19.57450034503571,-0.20096640630111035,-0.4378016058350414,-0.0045784759757976756,-29.462913254007788,-0.4971012079428432,0.3809632017701744,0.003165062429385692,0.00016045212746859376,0.017017889871895075,0.028008469771937758,0.4397633302804347,0.14430228641775258,0.0009719297894383336,0.6617471945433866,0.11077327033181006,13.707882219951287,2007-05-01
7,2006-09-01,2008-02-01,1.03748110782833,0.01959579246049237,18.04602756876124,0.08856459660081124,-0.4212122402762034,-0.004266699437323949,-22.346811721721505,-0.4408373749883666,0.33236890898458593,0.05212470498506636,0.0001520491203801343,0.055260749667148314,0.006223986524701756,0.7190488463027477,0.12174551298287672,0.01691190494573294,0.6833347140359847,0.22012204772787247,13.120160083037634,2007-06-01
8,2006-10-01,2008-03-01,1.0288696394986547,0.019915760204865775,13.22225911949548,0.15860444828136436,-0.4061516280171679,-0.002048299285270418,-12.890028379032808,0.03428148116241772,0.32386711082847275,0.6721601608860824,0.00012993403716987377,0.2480269426345333,0.00489309798362127,0.5986030144795651,0.1150871211670693,0.2401089475590391,0.8177343649279853,0.9278075758241868,8.444694248555619,2007-07-01
9,2006-11-01,2008-04-01,0.9905915690522196,0.018577523323563827,14.346760688997948,0.011197380874901578,-0.4565037088904338,-0.0024714439850937,-12.943734921738589,0.027956959280046156,0.045771585676773086,0.7399329023946666,0.00014444291005855098,0.15063273359691953,0.003360596250865175,0.9631843121893268,0.06452744165718766,0.1711070999185632,0.7737257132958699,0.9323203981440908,-1.9029716751747352,2007-08-01
10,2006-12-01,2008-05-01,0.7864077138161976,0.021259471766269324,13.606221718807294,-0.06658342216160741,-0.3053334481855996,0.005811914663685071,-10.591485930021728,0.10705577112769483,0.0595679653620429,0.9495766178195959,0.003951419801756464,0.1923589824758876,0.004372177891071094,0.8154825036076452,0.1817240544901332,0.2258523911652972,0.4654568353680544,0.7252176816388832,-5.688400835604451,2007-09-01
11,2007-01-01,2008-06-01,0.7757982935183998,0.02269990276256649,15.973371826372269,-0.02504864735343169,-0.3123751239868645,0.007985065951409744,-10.480868392097008,0.044359855627646994,0.06734631590345687,0.6224328814048476,0.005581724523071096,0.17227882052671706,0.0030040053154646923,0.9375714998679596,0.17563689104758018,0.2770690472342985,0.3962036565275016,0.9102354986814272,-9.287532074379916,2007-10-01
12,2007-02-01,2008-07-01,0.7694091367576601,0.019974007060914983,15.686147820685393,-0.08110357678065287,-0.31117373026142525,0.0068742176251348356,-10.03276667294708,0.01885648939315897,0.054030608335522985,0.5990049397696309,0.008330481547564007,0.1762264204748376,0.00786135104732393,0.7861095364393571,0.1968507572958018,0.29544907494725714,0.4807565698561659,0.9612135777311072,-9.397158514470991,2007-11-01
