ADS,ALV,BAS,BAYN,BEI,BMW,CBK,CONS,DAI,DB1,DBK,DPW,DTE,FME,FRE,HEI,HEN3,IFX,LHA,LIN,LXS,MUV2,RWE,SAP,SDF,SIE,TKA,VOW3,^GDAXI
194.95,184.95,87.33,109.9,92.08,84.71,10.58,207.9,66.51,95.37,13.8,36.86,15.56,82.79,69.68,83.27,115.45,20.85,22.85,162.35,65.75,174.7,20.17,91.9,21.61,116,25.25,137.45,12561.79
196.9,185.2,87.46,110.5,92.33,84.62,10.69,205.75,66.5,94.59,13.85,36.4,15.09,81.94,69.81,82.61,116.1,20.83,22.4,163.3,65.5,174.6,20.19,92.11,21.64,116.85,25.66,137.25,12559.39
197.9,184.95,86.2,110.25,92.21,84.83,10.69,206.95,66.25,93.45,13.81,36.12,15.01,81.6,69.91,82.51,115.85,20.5,22.46,161.85,64.05,175.3,20.17,92.01,20.98,116.3,25.85,136.75,12518.81
197.65,185,86.1,111.85,92.34,84.37,10.78,204.2,65.83,92.62,14.05,36.19,14.99,81.53,70.17,82.37,115.75,20.39,22.46,162.2,63.98,176.05,20.4,91.93,20.56,117.1,26.07,136.45,12540.45
199.2,184.15,86.13,111.55,92.32,84.07,10.77,200,65.67,94.25,14.14,36.45,15.01,81.36,70.45,82.41,116.55,20.48,22.7,163.2,64.01,175.9,20.65,92.28,20.48,116.9,26.3,136.6,12553.57
197.9,183.4,86.04,111.3,92.08,83.6,10.81,200.75,65.26,93.48,14.2,36.06,15.11,80.9,70.3,82.82,117.3,20.55,22.98,163.4,65.23,176.7,20.92,91.85,20.91,115.55,26.7,135.6,12524.77
197.6,183.95,85.6,110.3,92.69,82.85,10.5,200.5,64.65,93.72,13.71,35.79,15.15,80.39,70.49,83.01,118.6,20.35,22.58,163.35,64.13,176.4,21.52,91.78,20.41,114.95,26.38,133,12475.24
194.95,180.15,84.4,108.65,91.6,82.52,10.17,198.95,64.83,92.25,13.34,35.21,15.03,79.44,70.25,82.27,116.9,20.18,22.08,161.05,62.88,169.5,21.33,90.54,20.31,112.25,26.02,132.35,12303.98
195.4,180.15,83.9,109.35,91.25,82.65,10.02,197.85,64.91,92.14,13.26,35.26,15.09,79.78,70.57,81.53,116.6,20.12,22,160.8,62.89,168,21.39,90.11,20.53,112.9,25.57,131.65,12296.63
191.25,179.45,83.17,108.75,90.53,81.76,10.19,194.1,64.4,92.67,13.41,34.99,15,79.03,71.24,80.92,116.2,19.81,21.8,160.8,62.27,169.5,20.6,88.65,20.28,112.65,25.07,131.2,12214.54
189.6,178.85,82.67,107.4,89.85,80.5,10.1,192.35,62.42,91.38,13.22,34.83,15,79.22,70.7,81.15,115.4,19.77,21.56,160.45,61.81,169.35,20.56,88.21,20.28,112.3,25.15,129.1,12123.71
189.55,180.55,82.24,107.75,89.77,79.13,10.38,191.1,61.84,91.21,13.47,34.81,15.09,78.73,70.55,81.31,113.4,19.62,21.56,159.5,64.1,171.65,20.69,87.88,20.32,111.25,25.06,126.75,12102.21
190.4,180.95,82.44,108.35,89.79,79,10.47,189.95,61.8,91.3,13.53,35.13,15.11,79.12,71.3,81.37,113.3,19.83,21.76,160.35,63.34,173.35,20.99,88.6,20.43,110.75,25.4,126.5,12142.64
188.55,179.75,81.37,107.5,89.68,78,10.44,189.55,61.23,89.79,13.47,34.85,15.16,78.5,71.09,80.65,112.55,19.37,21.07,161.05,62.65,173.4,20.95,88.1,20.02,109.8,25.19,125.35,12055.84
185.7,178.5,81.48,107.05,88.68,78.37,10.32,191.45,61.59,89.23,13.45,34.58,15.12,78.18,70.39,78.84,112.25,19.03,20.34,160.8,63.31,173.9,20.77,87.53,20.01,109.3,24.72,125.9,12002.47
183.2,178.05,80.67,107.15,88.54,78.32,10.23,189.6,61.52,88.21,13.31,34.31,15.1,77.76,70.99,77.62,111.6,18.94,20.35,159.2,62.34,172.25,20.6,87.14,20.02,108.7,24.48,126.5,11945.88
185.3,181.35,81.76,108.95,88.61,79.21,10.57,192.3,61.9,89.54,13.71,34.67,15.26,78.24,71.1,78.94,112.65,19.22,20.65,162.6,64.8,174.85,21.03,87.85,20.43,110.9,25.25,127.4,12123.47
187.7,182.2,82.3,109,88.75,79.29,10.61,191.95,62.17,90.63,13.8,34.73,15.3,78.85,71.09,79.63,113.05,19.15,20.76,164.85,65.1,176.8,21.04,88.35,20.35,110.85,25.18,127.35,12167.94
188.6,182.75,82.58,107.7,89.19,79.79,10.65,192.8,61.65,89.5,13.81,35.03,15.38,79.38,71.44,80.14,113.55,19.05,20.8,166.2,64.86,177.5,20.8,88.58,20.45,111.65,25.05,127.6,12180.83
188.75,181.6,82.37,108.05,89.35,79.11,10.69,194.35,60.77,89.42,13.8,34.97,15.43,79.65,70.65,80.17,113.9,19.02,20.83,166.55,64.3,177.25,20.83,89.28,20.75,112.15,25.1,126.6,12174.3
189.35,182.9,82.22,108.9,89.63,79.38,10.74,195.7,60.83,89.84,13.74,35.22,15.56,79.81,70.41,80.97,113.8,19.01,21,167.65,63.9,177.8,20.79,89.59,19.86,112.95,25.4,127.3,12229.34
187.75,181.3,80.44,106.4,88.45,78.97,10.77,191.55,60.11,89.03,13.76,34.8,15.43,78.38,68.29,79.44,112.8,18.63,20.86,163.5,62.46,176.95,20.44,88.67,19.56,111.1,25.26,126.75,12065.99
189.25,182.7,81.4,107.9,89.23,79.54,10.94,192.25,60.31,89.44,14.1,34.98,15.51,79.06,68.7,79.63,113.1,18.77,20.74,165.65,62.6,178.7,20.6,89.24,19.76,111.3,26.09,128,12165.19
191.75,182.6,81.48,108.1,89.5,79.81,10.88,193.4,60.42,89.2,14.11,35.12,15.56,79.92,69.7,80.58,113.25,19,20.66,166,62.95,176.4,20.43,89.87,20,111.45,26.11,128.9,12203.46
193.5,183.85,81.83,108.1,89.69,80.14,11.2,193.25,60.52,89.75,14.58,35.51,15.61,79.12,69.59,81.75,113.2,19.12,20.75,165.25,63.66,177.8,20.22,90.35,20.1,112.35,26.32,129.8,12263.86
194.3,183,80.93,107.05,89.69,80,11.18,189.4,60.25,88.94,14.58,35.1,15.69,79.01,69.24,80.43,113.45,19.06,20.59,162.45,62.56,177.15,19.65,90,20.66,110.05,26.06,128.85,12177.04
193.9,182.2,80.95,107.05,89.51,80.2,11.12,189.9,60.15,89.27,14.66,34.76,15.77,77.83,69.02,80.5,114.5,19.11,19.66,162.35,63.6,177.9,19.21,89.84,21.83,110.2,26.25,128.6,12165.12
192,180.15,79.87,105.7,88.81,79.95,10.75,189.65,59.8,88.31,14.22,34.24,15.5,77.47,68.35,79.48,114,18.96,19.6,158.75,63.63,176.3,18.83,88.43,21.48,109.2,25.7,127.5,12014.06
191.3,181.3,79.8,104.65,88.58,80.05,10.93,190.45,59.87,88.6,14.42,34.15,15.63,76.53,67.23,78.94,114.45,19.1,19.66,158.65,64.52,177.35,18.94,88.99,21.73,108.6,25.77,127.15,12014.3
193.4,184.25,80.64,105.9,89.7,80.07,11.11,190.85,60.02,89.24,14.88,34.42,15.85,77.37,68.11,80.25,119.35,19.17,19.67,158.9,66.72,181.5,19.05,89.93,22.15,110.45,25.56,128,12154
199.3,187.1,81.7,106.8,90.22,80.79,11.6,189.95,60.5,90.01,15.47,34.6,15.98,78.02,69.16,81.63,119.9,19.13,20.05,160.55,67.8,186.1,18.9,90.82,22.47,112,25.85,129.4,12292.05
199.25,185.3,81.71,106.8,90.39,81,11.67,188.75,60.41,90.44,15.47,34.15,15.94,77.88,68.64,82.83,118.85,19.24,19.81,161.55,67.35,185.95,18.56,90.66,22.41,111.25,25.73,129.25,12257.17
199.95,185.8,82.11,107,90.55,81.35,11.64,189.05,60.53,91.31,15.64,34.2,15.75,79.04,69.95,83.3,119.25,19.23,19.61,161.95,67.23,186.15,18.5,91.44,22.31,111.55,25.41,130,12297.72
193.15,183.5,80.6,106.25,90.4,79.38,11.24,188.7,59.77,90.35,15.28,33.67,15.56,77.79,69.5,82.1,118.8,18.52,19.3,161.05,66.31,184.6,18.06,90.55,21.95,112.5,24.93,130,12154.72
191.85,183.6,80.71,106.2,92.04,78.86,11.02,189.5,59.8,89.8,15.14,33.76,15.53,78.26,70.32,82.38,119.5,18.7,19.27,161.05,66.61,184.45,17.9,89.63,22.07,116.05,24.62,130.85,12181.48
191.7,182.75,81.25,107.5,92.84,78.89,11.21,192.3,59.85,89.46,15.31,33.38,15.6,80.24,72.87,85,120.5,18.72,18.68,163.05,66.15,183.95,18.14,90.54,22.18,116.45,25.55,131.3,12251.29
193,180,80.59,107.15,92.7,77.71,11.08,190.5,59.29,88.41,15.09,32.8,15.44,79.79,71.43,83.82,119.75,18.39,18.17,161.8,65.22,181.5,17.82,89.68,22,114.75,25.08,130.1,12118.25
192.55,180.65,79.64,107.7,91.81,77.85,11.14,192.6,59.85,88.68,15.41,32.76,15.56,80.38,72.25,83.92,119.35,18.4,18.4,161.7,65.69,180.9,17.51,90.3,22.04,115.75,25.42,131.8,12162.7
177,182.05,79.74,108.45,92.89,78.5,11.14,196.6,60.29,89.25,15.52,32.78,15.65,81.04,73.26,84.54,120.25,18.67,18.53,165.25,66.28,181.6,17.8,90.8,22.22,115.8,25.9,133.35,12212.04
176.95,179.6,81.33,111.75,92.34,79.11,11.11,194.75,60.6,92.73,16.6,32.91,15.52,81.41,73.04,85.68,119.95,18.7,18.75,168,66.77,181.5,17.85,90.14,22.58,117.3,25.99,136.6,12305.11
176.6,179.1,81,111.6,91.57,79.43,10.82,191.9,61.06,92.85,16.4,32.88,15.47,81.82,73.61,85.7,118.5,18.4,18.66,168.7,65.46,180.7,17.6,89.11,22.33,117.25,25.83,134.05,12264.31
176.75,176.5,80.92,111.3,91.69,78.94,10.56,190.55,60.92,91.46,16.01,32.74,15.53,81.26,73.46,84.62,118,18.3,18.65,169.9,65.73,178.25,17.57,88.75,22.31,116.35,25.63,135.85,12208.95
177.2,176.85,80.88,111,92.15,81.19,10.33,191.6,62.58,92.34,15.63,33.07,15.57,81.08,73.46,84.62,119.05,18.53,18.56,169.35,65.83,177.65,17.35,88.88,22.5,115.95,25.66,137.75,12240.06
179.75,178.95,81.79,112.05,93.47,83.37,10.56,197.75,63.9,93.5,15.84,33.53,15.73,82.64,74.83,86.16,120.65,19.43,19.06,170.85,67.43,179.65,17.65,91.11,23.33,118.1,26,142.95,12447.25
179.1,179.7,81.72,111.15,93.53,83.28,10.53,197.55,64.14,93.96,15.94,33.71,15.65,83.57,75.23,85.46,121,19.42,20.84,170,68.3,180.7,17.75,91.33,23.44,116.6,26.27,143.5,12452.05
180.05,179.7,81.78,109.95,92.76,83.28,10.84,196.8,64.17,94.68,15.94,33.84,15.56,84.02,75.04,85.4,120.1,19.08,20.86,170,67.94,180.05,17.77,89.83,23.4,117.95,26.41,142.7,12430.39
181.9,181.95,83.61,111.85,93.25,83.65,11.05,197.65,64.68,95.43,16.35,34.2,15.73,85.66,75.86,86.48,121.85,19.15,21.11,173.65,68.78,181.4,17.9,90.99,24.08,119,26.74,144.55,12587.16
180.6,182.8,83.72,112.75,93.4,83.74,11.13,196.4,64.87,96.74,16.37,34.16,15.84,85.94,76.23,86.13,121.25,19.26,20.9,172.7,69.16,181.8,17.92,91.34,24.06,120.3,26.57,145.45,12631.72
180.4,183.85,82.7,112.85,93.3,84.36,11.27,196.7,65.15,96.66,16.52,34.18,15.94,85.32,75.99,86.79,120.95,19.19,20.97,173.9,68.8,182.3,17.99,91.36,23.83,120.5,26.83,143.35,12641.33
178.5,182.5,82.12,112.55,92.81,84.2,10.97,195.35,65.46,96.26,16.44,34,15.85,85.16,76.44,87.72,120.15,19.26,20.64,172.2,68.08,180.65,17.99,91.58,23.58,122.8,26.73,142.55,12626.58
174.9,179.9,81.82,110.05,91.44,83.01,11.15,193.55,64.15,95.7,16.59,33.1,15.65,83.28,74.9,87.33,118.2,18.72,20.5,167.8,66.55,179.7,17.55,90.33,23.63,120.55,26.47,140.15,12437.02
175.05,180,81.47,110.4,91.81,81.62,11.15,191.4,63.36,95.48,16.58,33.15,15.69,83.9,74.84,87.56,119.6,18.65,20.41,169.05,66.98,180.75,17.77,91.31,23.04,121.05,26.15,138.65,12445.92
176.2,178.75,81.12,109.95,90.54,81.38,11.11,188.7,63.48,95.4,16.68,32.83,15.57,83.43,74.72,87.7,119.15,18.67,20.5,165.7,66.17,180.1,17.63,90.36,23,120.85,25.92,138.75,12388.68
176.8,177.15,81.34,110.65,90.56,81.44,11.2,189.6,63.36,95.5,16.69,32.99,15.55,83.61,74.9,87.54,119.5,18.58,20.24,165.55,66.91,179.9,17.15,90.1,23.01,120.5,26.13,138.1,12381.25
176.6,176.7,82.13,112.4,91.6,81.53,10.84,189.5,63.74,95.34,16.36,33.22,15.56,84.77,75.97,87.47,121.3,18.66,20.17,167.1,67.38,180.25,17.34,91,23.09,122,26.29,135.65,12453.68
168.35,176.65,82.36,113,91.44,82.28,10.78,189.85,64.1,92.38,16.4,33.31,15.68,84.27,75.2,87.12,121.1,18.52,20.03,167.1,66.95,179.7,17.49,90.73,23.2,121.85,26.08,136.2,12437.13
168.9,175.9,82.57,113.4,91.79,82.98,10.88,190,64.08,92.51,16.09,33.49,15.82,84.81,75.44,86.77,120.55,18.61,20.25,168.6,67.5,179.8,17.59,91.18,23.22,123.1,26.1,135.8,12475.31
167.75,172.4,81.09,113.2,92.04,81.28,10.43,188.95,63.37,92.42,15.52,32.82,15.72,84.17,75.06,84.65,120.5,18.49,19.92,165.8,66.29,176.55,17.44,91.45,22.42,120.35,24.88,133.35,12325.12
164.35,173.1,82.26,118.1,92.02,82.72,10.4,188.45,64.31,91.9,15.82,32.97,15.9,84.11,75.2,85.1,120.95,18.35,19.8,167.4,66.73,175.75,17.39,90.89,22.47,120.55,24.91,133,12416.19
168.15,174.35,83.92,121.7,95.08,83.68,10.26,193.2,64.9,93.9,15.74,33.33,16.25,86.2,76.6,85.36,124,19.05,20.03,170,67.17,176.35,17.97,93.5,22.63,123.2,25.69,134.35,12647.27
168.8,174.35,84.39,121.75,95.79,82.86,9.94,191.35,65.08,93.4,15.52,33.26,16.24,86.38,77.2,85.27,125.5,19.18,19.34,170,66.55,176.4,18.4,94.35,22.67,124.1,25.41,134.1,12671.02
168.8,174.55,84.89,122.15,97.29,83.49,9.48,197.95,65.37,94.61,15.04,33.19,16.62,87.37,78.13,85.84,126.85,19.6,19.2,170.65,67.22,178.05,18.85,95.69,22.69,125.9,25.63,134.3,12770.83
168.5,173.9,84.98,121.9,96.01,83.6,9.28,196.8,65.34,94.67,14.9,32.49,16.66,87.64,78.24,85.82,125.55,19.66,18.63,171.15,66.5,177.3,19.07,95.93,22.87,124.75,25.33,133.65,12733.41
169.6,174.9,85.56,122.5,96.27,84.17,9.3,198.25,65.49,95.53,15.05,32.42,16.69,88.52,78.94,85.78,126.85,19.6,18.5,173.2,66.6,177.75,19.64,96.01,23.11,125.2,25.3,134.65,12794
