time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20171026T142325,54.7,1000,1000,55.0,4000,4000
20171026T142326,54.7,1000,1000,55.0,4100,4100
20171026T142517,54.7,1000,1000,55.0,4000,4000
20171026T142748,54.7,1000,1000,55.0,4100,4100
20171026T142824,54.7,1000,1000,55.0,4000,4000
20171026T143213,54.7,1000,1000,55.0,4100,4100
20171026T143225,54.7,1000,1000,55.0,4000,4000
20171026T143313,54.7,1000,1000,55.0,4100,4100
20171026T143314,54.7,1000,1000,54.99,100,100
20171026T143325,54.7,1000,1000,55.0,4000,4000
20171026T143326,54.7,1000,1000,54.99,100,100
20171026T143332,54.7,1000,1000,55.0,4000,4000
20171026T143334,54.7,1000,1000,55.0,4100,4100
20171026T143336,54.7,1000,1000,54.99,100,100
20171026T143404,54.7,1000,1000,55.0,4100,4100
20171026T143408,54.7,1000,1000,54.99,100,100
20171026T143411,54.7,1000,1000,55.0,4000,4000
20171026T143415,54.7,1000,1000,55.0,4100,4100
20171026T143425,54.7,1000,1000,55.0,4000,4000
20171026T143509,54.7,1000,1000,55.0,4100,4100
20171026T143513,54.7,1000,1000,54.99,100,100
20171026T143516,54.7,1000,1000,55.0,4100,4100
20171026T143527,54.7,1000,1000,54.99,100,100
20171026T143604,54.7,1000,1000,55.0,4100,4100
20171026T143605,54.7,1000,1000,55.0,4000,4000
20171026T143632,54.8,100,100,55.0,4100,4100
20171026T143635,54.8,100,100,54.99,100,100
20171026T143636,54.8,100,100,55.0,4100,4100
20171026T143649,54.8,100,100,54.99,100,100
20171026T143656,54.8,100,100,55.0,4100,4100
20171026T143701,54.8,100,100,54.99,100,100
20171026T143709,54.8,100,100,55.0,4100,4100
20171026T143725,54.8,100,100,54.99,100,100
20171026T143729,54.8,100,100,55.0,4000,4000
20171026T143808,54.8,100,100,55.0,4100,4100
20171026T143822,54.8,100,100,55.0,4000,4000
20171026T143919,54.8,100,100,55.0,4100,4100
20171026T143924,54.8,100,100,55.0,4000,4000
20171026T143929,54.8,100,100,55.0,4100,4100
20171026T143940,54.8,100,100,54.99,100,100
20171026T143951,54.8,100,100,55.0,4000,4000
20171026T143955,54.8,100,100,55.0,4100,4100
20171026T143959,54.8,100,100,54.99,100,100
20171026T144004,54.8,100,100,55.0,4100,4100
20171026T144025,54.8,100,100,55.0,4000,4000
20171026T144030,54.8,100,100,55.0,4100,4100
20171026T144035,54.8,100,100,54.99,100,100
20171026T144126,54.8,100,100,55.0,4100,4100
20171026T144137,54.8,100,100,54.99,100,100
20171026T144154,54.8,100,100,55.0,4000,4000
20171026T144156,54.8,100,100,55.0,4100,4100
20171026T144205,54.8,100,100,55.0,4000,4000
20171026T144214,54.8,100,100,55.0,4100,4100
20171026T144218,54.8,100,100,55.0,4000,4000
20171026T144219,54.8,100,100,55.0,4100,4100
20171026T144228,54.8,100,100,55.0,4000,4000
20171026T144332,54.8,100,100,55.0,4100,4100
20171026T144354,54.8,100,100,55.0,4000,4000
20171026T144519,54.8,100,100,55.0,4100,4100
20171026T144522,54.8,100,100,55.0,4000,4000
20171026T144701,54.8,100,100,55.0,3700,3700
20171026T144706,54.8,100,100,55.0,3600,3600
20171026T144708,54.8,100,100,55.0,3500,3500
20171026T144717,54.7,1000,1000,55.0,3400,3400
20171026T144741,54.7,1000,1000,54.99,100,100
20171026T144745,54.7,1000,1000,55.0,3400,3400
20171026T144754,54.71,200,200,55.0,3400,3400
20171026T144810,54.71,200,200,55.0,3500,3500
20171026T144818,54.71,200,200,55.0,3400,3400
20171026T144825,54.9,900,900,55.0,3400,3400
20171026T144854,54.9,900,900,55.0,3500,3500
20171026T144857,54.9,900,900,55.0,3400,3400
20171026T144902,54.9,900,900,55.0,3500,3500
20171026T144904,54.9,900,900,54.99,100,100
20171026T144906,54.9,900,900,55.0,3400,3400
20171026T145004,54.9,800,800,55.0,3400,3400
20171026T145050,54.9,600,600,55.0,3400,3400
20171026T145058,54.71,200,200,55.0,3400,3400
20171026T145145,54.81,100,100,55.0,3400,3400
20171026T145612,54.86,100,100,55.0,3400,3400
20171026T145745,54.71,200,200,55.0,3400,3400
20171026T145746,54.86,100,100,55.0,3400,3400
20171026T150742,54.86,100,100,55.05,200,200
20171026T150747,54.86,100,100,55.0,2000,2000
20171026T151044,54.87,100,100,55.05,200,200
20171026T151054,54.86,100,100,55.05,200,200
20171026T151806,54.86,100,100,55.05,300,300
20171026T151807,54.86,100,100,55.04,100,100
20171026T151825,54.86,100,100,55.05,200,200
20171026T151826,54.86,100,100,55.04,100,100
20171026T151839,54.86,100,100,55.05,300,300
20171026T151909,54.86,100,100,55.05,200,200
20171026T152001,54.87,500,500,55.05,200,200
20171026T152006,54.87,500,500,55.08,100,100
20171026T152016,54.92,500,500,55.1,100,100
20171026T152019,55.0,500,500,55.1,100,100
20171026T152031,55.01,500,500,55.1,100,100
20171026T152229,55.05,400,400,55.1,100,100
20171026T152231,55.05,400,400,55.11,100,100
20171026T152232,55.06,500,500,55.26,100,100
20171026T152242,55.06,500,500,55.25,100,100
20171026T152318,55.06,500,500,55.23,100,100
20171026T152321,55.06,500,500,55.24,400,400
20171026T152325,55.06,500,500,55.24,300,300
20171026T152359,55.06,500,500,55.23,100,100
20171026T152401,55.06,500,500,55.24,300,300
20171026T152518,55.06,500,500,55.24,400,400
20171026T152524,55.06,500,500,55.24,300,300
20171026T152536,55.05,400,400,55.24,300,300
20171026T152541,55.07,500,500,55.24,300,300
20171026T152546,55.05,400,400,55.24,300,300
20171026T152551,55.07,500,500,55.24,300,300
20171026T152601,55.05,400,400,55.24,300,300
20171026T152607,55.07,500,500,55.24,300,300
20171026T152610,55.15,200,200,55.34,200,200
20171026T152612,55.15,200,200,55.32,200,200
20171026T152616,55.16,500,500,55.33,200,200
20171026T152621,55.18,300,300,55.33,300,300
20171026T152629,55.18,300,300,55.32,400,400
20171026T152701,55.31,100,100,55.32,400,400
20171026T152709,55.18,300,300,55.32,400,400
20171026T152718,55.18,300,300,55.32,300,300
20171026T152749,55.24,300,300,55.32,300,300
20171026T152755,55.28,300,300,55.32,300,300
20171026T152757,55.28,300,300,55.32,200,200
20171026T152800,55.29,300,300,55.33,500,500
20171026T152801,55.27,300,300,55.33,400,400
20171026T152814,55.27,300,300,55.33,300,300
20171026T152831,55.26,500,500,55.33,300,300
20171026T152853,55.26,300,300,55.33,300,300
20171026T152921,55.24,500,500,55.32,500,500
20171026T152932,55.25,100,100,55.32,500,500
20171026T152936,55.22,300,300,55.32,500,500
20171026T152944,55.22,300,300,55.32,600,600
20171026T152946,55.16,600,600,55.32,500,500
20171026T152949,55.16,600,600,55.32,600,600
20171026T152951,55.16,600,600,55.32,500,500
20171026T152956,55.16,100,100,55.38,300,300
20171026T153000,55.21,1000,1000,55.39,100,100
20171026T153001,55.18,100,100,55.28,100,100
20171026T153002,55.18,300,300,55.26,300,300
20171026T153003,55.19,200,200,55.3,300,300
20171026T153003,55.22,100,100,55.27,100,100
20171026T153004,55.23,100,100,55.26,100,100
20171026T153004,55.24,100,100,55.27,300,300
20171026T153005,55.26,100,100,55.3,200,200
20171026T153005,55.26,200,200,55.3,300,300
20171026T153006,55.23,1000,1000,55.28,200,200
20171026T153008,55.23,600,600,55.28,300,300
20171026T153009,55.23,400,400,55.27,400,400
20171026T153010,55.23,400,400,55.24,600,600
20171026T153010,55.2,700,700,55.24,100,100
20171026T153011,55.18,100,100,55.21,100,100
20171026T153012,55.18,100,100,55.22,400,400
20171026T153013,55.18,100,100,55.22,600,600
20171026T153015,55.22,100,100,55.24,100,100
20171026T153016,55.22,500,500,55.26,100,100
20171026T153017,55.22,1500,1500,55.27,200,200
20171026T153018,55.17,200,200,55.2,200,200
20171026T153018,55.2,100,100,55.22,400,400
20171026T153019,55.19,300,300,55.22,100,100
