Date,Open,High,Low,Close*,Adj Close**,Volume
19-Sep-17,"2,506.29","2,507.84","2,503.19","2,506.65","2,506.65","3,249,100,000"
18-Sep-17,"2,502.51","2,508.32","2,499.92","2,503.87","2,503.87","3,194,300,000"
15-Sep-17,"2,495.67","2,500.23","2,493.16","2,500.23","2,500.23","4,853,170,000"
14-Sep-17,"2,494.56","2,498.43","2,491.35","2,495.62","2,495.62","3,414,460,000"
13-Sep-17,"2,493.89","2,498.37","2,492.14","2,498.37","2,498.37","3,368,050,000"
12-Sep-17,"2,491.94","2,496.77","2,490.37","2,496.48","2,496.48","3,230,920,000"
11-Sep-17,"2,474.52","2,488.95","2,474.52","2,488.11","2,488.11","3,291,760,000"
8-Sep-17,"2,462.25","2,467.11","2,459.40","2,461.43","2,461.43","3,302,490,000"
7-Sep-17,"2,468.06","2,468.62","2,460.29","2,465.10","2,465.10","3,353,930,000"
6-Sep-17,"2,463.83","2,469.64","2,459.20","2,465.54","2,465.54","3,374,410,000"
5-Sep-17,"2,470.35","2,471.97","2,446.55","2,457.85","2,457.85","3,490,260,000"
1-Sep-17,"2,474.42","2,480.38","2,473.85","2,476.55","2,476.55","2,710,730,000"
31-Aug-17,"2,462.65","2,475.01","2,462.65","2,471.65","2,471.65","3,348,110,000"
30-Aug-17,"2,446.06","2,460.31","2,443.77","2,457.59","2,457.59","2,633,660,000"
29-Aug-17,"2,431.94","2,449.19","2,428.20","2,446.30","2,446.30","2,737,580,000"
28-Aug-17,"2,447.35","2,449.12","2,439.03","2,444.24","2,444.24","2,677,700,000"
25-Aug-17,"2,444.72","2,453.96","2,442.22","2,443.05","2,443.05","2,588,780,000"
24-Aug-17,"2,447.91","2,450.39","2,436.19","2,438.97","2,438.97","2,846,590,000"
23-Aug-17,"2,444.88","2,448.91","2,441.42","2,444.04","2,444.04","2,785,290,000"
22-Aug-17,"2,433.75","2,454.77","2,433.67","2,452.51","2,452.51","2,777,490,000"
