12095.24,2381.38,853.42,63.93
12083.18,2385.26,852.97,64.04
12009.87,2365.45,852.53,63.7
11988.79,2373.47,854.59,64
11990.03,2372.6,852.46,64.22
11963.18,2364.87,853,64.02
11978.39,2362.98,850.5,64.28
11967.31,2368.39,846.02,63.69
11966.14,2375.31,846.61,63.57
11958.4,2383.12,849.88,63.55
12027.36,2381.92,848.91,63.31
12059.57,2395.96,853.08,64.23
12067.19,2363.64,845.04,63.28
11834.41,2369.75,848.64,63.53
11822.67,2367.34,845.24,63.91
11804.03,2363.81,852.19,63.91
11947.83,2362.82,855.61,63.65
11998.59,2365.38,856.44,63.78
11967.49,2351.16,845.07,63.91
11827.62,2347.22,844.14,63.81
11757.02,2349.25,842.7,63.82
11757.24,2337.58,836.39,63.86
11793.93,2328.25,836.53,63.62
11771.81,2316.1,827.46,62.92
11774.43,2307.87,821.36,62.98
11666.97,2294.67,819.71,62.27
11642.86,2293.08,812.5,62.36
11543.38,2292.56,807.64,62.56
11549.44,2297.42,810.2,62.6
11509.84,2280.85,839.95,62.1
11651.49,2279.55,832.35,62.5
11627.95,2278.87,823.48,63.56
11659.5,2280.9,830.38,64.03
11535.31,2294.69,835.77,64.67
11681.89,2296.68,839.15,63.18
11814.27,2298.37,836.52,62.6
11848.63,2280.07,822.44,62.44
11806.05,2265.2,817.88,61.89
11594.94,2271.31,808.33,61.68
11545.75,2263.69,809.04,61.25
11630.13,2271.89,807.48,61.44
11596.89,2267.89,809.72,61.47
11599.39,2274.64,817.14,61.64
11540,2270.44,813.64,61.55
11554.71,2275.32,799.02,62.12
11629.18,2268.9,795.9,61.56
11521.04,2268.9,796.92,61.58
11646.17,2276.98,795.99,61.78
11583.3,2269,780.45,61.25
11563.99,2270.75,757.18,61.25
11599.01,2257.83,753.67,61.52
11584.94,2238.83,749.87,61.09
11584.31,2249.26,765.15,61.84
11584.24,2249.92,772.13,61.92
11598.33,2268.88,771.4,62.21
11481.06,2263.79,760.59,62.17
11451.05,2260.96,766.34,62.47
11474.99,2265.18,770.6,62.46
11472.24,2270.76,771.22,62.46
11449.93,2262.53,766,62.54
11456.1,2258.07,757.77,61.25
11468.64,2262.03,761,61.52
11464.74,2253.28,768.82,61.62
11426.7,2271.72,774.34,61.91
11404.01,2256.96,760.12,61.12
11366.4,2259.53,768.66,60.92
11244.84,2246.19,767.33,59.98
11284.65,2241.35,770.42,60.33
11190.21,2212.23,764.72,58.94
11203.63,2204.71,759.36,59.2
11205.42,2191.95,740.34,58.25
11204.42,2191.08,743.65,58.2
11203.42,2198.81,750.57,59.24
11202.42,2204.66,762.52,60.06
11201.42,2201.72,766.77,59.58
11200.42,2213.35,780.37,59.51
11199.42,2204.72,780.12,59.38
11198.42,2202.94,785.33,60.09
11197.42,2198.18,780,59.83
11196.42,2181.9,760.16,59.33
11195.42,2187.12,756.4,59.61
11194.42,2176.94,746.49,58.64
11193.42,2180.39,743.24,57.87
11192.42,2164.2,719.07,56.75
11191.42,2164.45,739.01,57.63
11190.42,2167.48,742.38,57.32
11189.42,2163.26,771.88,58.75
11188.42,2139.56,787.75,59.05
11187.42,2131.52,784.93,59
11186.42,2085.18,755.05,57.33
11185.42,2088.66,767.03,57.82
11184.42,2097.94,765.56,58.03
11183.42,2111.72,785.41,58.39
11182.42,2126.15,789.82,58.51
11181.42,2126.41,776.32,58.46
11180.42,2133.04,818.36,58.69
11179.42,2139.43,822.59,59.2
