Industry Indices: Price - US$ Currency Europe;Europe;;;;;Eurozone;;;;
Date;Bas Mater ;Cns Goods ;Cns Svcs ;Fincl ;Indus ;Bas Mater ;Cns Goods ;Cns Svcs ;Fincl ;Indus
    ;SXBSCL;S3000L;S5000L;SXFINL;SXIDUL;SXBSCK;S3000K;S5000K;SXFINK;SXIDUK
31.12.1986;70.22;;;87.2;65.5;78.09;;;92.77;71.36
01.01.1987;70.22;;;87.2;65.5;78.09;;;92.77;71.36
02.01.1987;69.99;;;87.45;65.77;77.51;;;92.81;70.94
05.01.1987;69.89;;;87.39;65.52;77.6;;;92.97;71.27
06.01.1987;70.88;;;88.07;66.2;78.62;;;93.59;72.22
07.01.1987;70.92;;;87.57;66.52;77.93;;;92.73;71.52
08.01.1987;70.46;;;87.33;67.06;76.92;;;92.04;71.24
09.01.1987;69.96;;;86.93;67.21;75.27;;;91.11;70.68
12.01.1987;71.14;;;88.01;68.24;76.48;;;92.74;72.35
13.01.1987;71.52;;;88.25;68.61;76.76;;;93.22;72.51
14.01.1987;71.91;;;88.88;68.96;77.35;;;94.18;73.37
15.01.1987;73.13;;;91.37;70.46;78.55;;;96.86;75.07
16.01.1987;72.98;;;91.39;70.6;78.16;;;96.41;74.7
19.01.1987;73.87;;;92.61;71.19;79.05;;;97.73;75.41
20.01.1987;72.94;;;91.04;70.35;77.64;;;95.81;74.07
21.01.1987;72.36;;;90.46;69.81;77.02;;;95.28;73.64
22.01.1987;74.17;;;91.96;71.05;79.14;;;97.05;75.69
23.01.1987;74.35;;;91.94;71.42;79.3;;;97.16;76.35
26.01.1987;73.35;;;90.82;70.84;77.8;;;95.43;75.69
27.01.1987;73.87;;;91.52;71.98;77.88;;;96.07;76.1
28.01.1987;73.28;;;90.6;72.12;76.28;;;94.63;75.82
29.01.1987;73.51;;;91.12;71.68;76.91;;;95.88;75.56
30.01.1987;72.79;;;89.82;70.58;76.21;;;94.77;74.53
02.02.1987;73.62;;;89.8;71.45;76.38;;;94.27;75.06
03.02.1987;73.61;;;89.65;71.85;76.12;;;93.85;75.13
04.02.1987;74.04;;;88.54;71.63;75.75;;;92.64;73.86
05.02.1987;73.45;;;87.03;71.29;74.64;;;90.38;72.59
06.02.1987;73.77;;;87.05;71.49;75.4;;;90.24;72.29
09.02.1987;75.21;;;88.94;73.06;77.35;;;92.1;73.78
10.02.1987;75.21;;;89.25;73.09;77.67;;;92.8;74.18
11.02.1987;74.69;;;88.29;73.04;76.8;;;91.44;73.5
12.02.1987;74.44;;;88.33;72.9;77.06;;;91.46;73.7
13.02.1987;74.65;;;88.42;73.34;77.12;;;91.45;73.76
16.02.1987;75.41;;;89.2;74.24;77.54;;;92.4;74.42
17.02.1987;75.1;;;89.23;74.53;76.47;;;91.7;73.83
18.02.1987;74.94;;;88.75;74.54;76.11;;;90.89;72.91
19.02.1987;75.61;;;88.69;73.99;77.66;;;91.35;73.38
20.02.1987;76.22;;;89.15;74.97;77.77;;;92.13;74.19
23.02.1987;75.98;;;88.29;75.21;77.32;;;91.58;74.51
24.02.1987;75.65;;;87.86;74.96;76.93;;;91.09;74.59
25.02.1987;76.52;;;87.97;75.6;77.4;;;90.8;74.72
26.02.1987;76.69;;;87.95;76.46;77.82;;;90.8;75.51
27.02.1987;76.38;;;88.05;76.64;77.63;;;90.91;75.95
02.03.1987;76.72;;;88.1;77.37;77.65;;;90.81;76.06
03.03.1987;76.54;;;87.85;77.5;77.41;;;90.41;75.83
04.03.1987;77.07;;;88.46;78.11;78.14;;;91.04;76.66
05.03.1987;77.41;;;88.87;78.63;78.56;;;91.6;76.96
06.03.1987;77.76;;;89.13;78.72;79;;;91.95;76.44
09.03.1987;76.62;;;88.09;77.8;78.71;;;90.99;75.66
10.03.1987;76.8;;;88.15;77.95;79.01;;;90.64;75.35
11.03.1987;76.51;;;87.61;77.52;78.29;;;89.62;74.66
12.03.1987;77.04;;;88.02;77.55;79.13;;;90.18;74.8
13.03.1987;77.28;;;87.63;77.35;79.41;;;90.06;75.09
16.03.1987;77.99;;;88.6;77.48;80.39;;;91.42;75.57
17.03.1987;77.72;;;88.76;78.25;79.42;;;91.19;75.4
18.03.1987;77.49;;;88.81;78.4;79.44;;;91.11;75.36
19.03.1987;76.53;;;87.99;77.96;78.04;;;90.24;74.95
20.03.1987;77.3;;;88.32;78.41;78.47;;;90.95;75.2
23.03.1987;78.64;;;89.56;79.6;80;;;92.2;76.28
24.03.1987;79.29;;;90.08;80.09;80.78;;;92.3;77.39
25.03.1987;79.84;;;89.95;80.14;80.88;;;92.14;77.9
26.03.1987;80.65;;;90.13;80.18;82.24;;;92.45;78.53
27.03.1987;81.91;;;90.9;80.42;83.47;;;93.51;79.13
30.03.1987;81.64;;;91.38;79.97;83.51;;;94.75;79.34
31.03.1987;81.12;;;90.86;79.49;83.14;;;93.93;78.91
01.04.1987;81.18;;;90.9;78.7;84.17;;;94.61;79.3
02.04.1987;81.14;;;90.88;78.94;84.17;;;94.46;79.53
03.04.1987;81.32;;;91.45;78.87;84.22;;;95.02;79.94
06.04.1987;82.71;;;91.65;79.51;85.36;;;95.15;80.44
07.04.1987;82.16;;;91.33;79.13;84.41;;;94.76;79.83
08.04.1987;81.55;;;90.39;78.42;83.43;;;93.74;78.9
09.04.1987;82.24;;;90.86;78.81;84.33;;;94.37;79.75
10.04.1987;82.08;;;90.96;78.31;83.98;;;94.95;79.94
13.04.1987;81.13;;;90.32;77.58;82.51;;;94.57;79.46
14.04.1987;81.68;;;91.07;77.96;83.55;;;96.03;80.46
15.04.1987;82.34;;;91.52;78.4;84.45;;;96.17;80.74
16.04.1987;82.23;;;91.66;79.04;84.33;;;96.07;81.05
17.04.1987;82.24;;;91.67;79.05;84.35;;;96.08;81.08
20.04.1987;82.23;;;91.58;79.03;84.32;;;95.95;81.03
21.04.1987;82.31;;;91.51;78.76;84.31;;;95.83;81.16
22.04.1987;82.55;;;91.48;79.07;84.78;;;95.68;81.28
23.04.1987;82.76;;;91.97;79.51;84.86;;;95.91;81.67
24.04.1987;83.7;;;93.02;81.33;85.26;;;96.62;82.36
27.04.1987;82.85;;;92.3;80.92;83.61;;;95.46;81.22
28.04.1987;83.17;;;91.72;81;83.64;;;94.8;80.82
29.04.1987;83.88;;;92.02;81.88;84.03;;;95.18;81.4
30.04.1987;83.73;;;92.1;82.28;83.56;;;94.85;81.13
01.05.1987;84.47;;;92.96;83.17;84.2;;;95.51;81.73
04.05.1987;84.39;;;93.06;83.03;84.08;;;95.48;81.32
05.05.1987;85.4;;;93.49;83.69;84.83;;;95.74;81.48
06.05.1987;86.03;;;93.32;84.22;85.61;;;95.16;81.45
07.05.1987;86.03;;;92.66;83.57;85.72;;;94.29;81.07
08.05.1987;85.97;;;92.2;84.01;85.04;;;93.24;80.5
11.05.1987;86.15;;;92.03;84.13;85.13;;;92.92;80.35
12.05.1987;86.26;;;92.2;84.21;85.23;;;92.96;80.38
13.05.1987;86.98;;;92.53;84.3;85.73;;;93.06;80.04
14.05.1987;87.03;;;92.71;84.82;85.7;;;93.17;79.87
15.05.1987;87.07;;;92.27;84.51;85.18;;;92.17;78.14
18.05.1987;87.2;;;91.93;84.6;85.01;;;91.61;77.69
19.05.1987;87.3;;;91.77;84.98;84.59;;;90.74;77.64
20.05.1987;86.73;;;91.01;84.22;83.92;;;90.45;76.68
21.05.1987;86.07;;;90.83;83.42;83.56;;;90.33;76.11
22.05.1987;85.74;;;90.62;83.35;83.56;;;90.32;76.24
25.05.1987;85.8;;;90.41;83.55;83.69;;;89.88;76.77
26.05.1987;84.6;;;89.47;82.31;83.15;;;89.42;76.33
27.05.1987;83.92;;;88.68;81.44;83.34;;;89.26;76.45
28.05.1987;84.38;;;88.86;82.1;83.48;;;89.36;76.73
29.05.1987;84.92;;;88.79;82.95;83.21;;;88.86;76.41
01.06.1987;85.08;;;88.5;83.27;83.37;;;88.48;75.96
02.06.1987;86.72;;;89.34;83.58;84.14;;;89.18;76.18
03.06.1987;86.1;;;89.31;83.37;83.44;;;88.8;75.19
04.06.1987;85.24;;;88.44;82.31;83.23;;;88.14;74.71
05.06.1987;85.55;;;88.68;82.55;83.38;;;88.14;74.28
08.06.1987;85.74;;;88.94;82.84;83.76;;;88.62;74.65
09.06.1987;86.32;;;89.49;84.03;84.03;;;88.72;74.93
10.06.1987;86.43;;;89.29;83.62;84.6;;;88.22;74.57
11.06.1987;86.71;;;89.67;83.98;85.16;;;88.44;75.33
12.06.1987;86.43;;;89.81;84.42;84.74;;;87.97;75.31
15.06.1987;86;;;89.81;84.28;84.76;;;87.69;75.62
16.06.1987;86.41;;;91.7;84.68;85.33;;;89.52;75.88
17.06.1987;86.69;;;91.85;84.83;85.34;;;89.44;75.5
18.06.1987;86.42;;;91.23;84.21;85.14;;;89.11;74.86
19.06.1987;86.76;;;91.45;83.21;86.16;;;90.11;74.4
22.06.1987;87.18;;;91.25;82.23;87.22;;;90.22;74.87
23.06.1987;88.42;;;92.07;82.66;88.33;;;91.12;75.77
24.06.1987;88.2;;;91.88;83.36;86.7;;;90.46;74.93
25.06.1987;88.27;;;92.2;83.61;87.46;;;90.64;75
26.06.1987;88.59;;;92.78;84.03;87.72;;;91;75.89
29.06.1987;88.27;;;92.26;83.57;87.53;;;90.37;76.15
30.06.1987;88.23;;;92.25;84.09;87.24;;;90.15;76.26
01.07.1987;87.9;;;91.66;83.91;86.41;;;89.71;75.94
02.07.1987;89.18;;;92.09;84.51;87.87;;;90.23;76.65
03.07.1987;89.92;;;92.75;85.22;89.02;;;90.92;77.59
06.07.1987;90.13;;;92.74;85.66;88.76;;;90.52;77.54
07.07.1987;90.62;;;92.68;85.99;88.75;;;90.3;76.83
08.07.1987;91.48;;;92.87;86.46;89.44;;;90.91;77.5
09.07.1987;91.3;;;92.83;86.4;88.67;;;90.67;76.7
10.07.1987;91.41;;;92.88;86.79;88.72;;;90.74;76.44
13.07.1987;91.98;;;93.08;87.71;89.52;;;90.75;76.63
14.07.1987;92.15;;;92.97;87.61;89.79;;;90.74;76.54
15.07.1987;94.03;;;94.95;89.18;91.45;;;92.29;77.68
16.07.1987;94.4;;;95.45;89.33;91.44;;;92.53;77.56
17.07.1987;93.46;;;94.9;88.42;91.29;;;92.04;77
20.07.1987;93.42;;;95.25;87.72;91.8;;;92.53;77.03
21.07.1987;93.05;;;94.7;86.85;91.29;;;92.14;76.63
22.07.1987;92.54;;;93.87;85.42;91.15;;;91.86;76.62
23.07.1987;92.81;;;93.73;85.61;91.23;;;91.45;76.79
24.07.1987;93.28;;;93.97;86.15;91.92;;;91.41;77.34
27.07.1987;93.12;;;93.83;85.6;92.03;;;91.62;77.38
28.07.1987;94.43;;;94.41;86.33;93.02;;;91.83;77.62
29.07.1987;95.87;;;95.03;87.1;93.82;;;92.45;78.2
30.07.1987;96.5;;;95.15;86.84;94.88;;;93.26;78.59
31.07.1987;96.62;;;94.91;86.6;94.91;;;93.33;78.54
03.08.1987;96.82;;;93.77;85.17;95.14;;;92.9;78.15
04.08.1987;95.03;;;91.78;83.14;93.6;;;90.94;76.39
05.08.1987;95.99;;;92.36;83.84;95.27;;;90.92;77.04
06.08.1987;94.95;;;91.97;82.96;94.89;;;90.89;77.49
07.08.1987;94.15;;;91.18;81.23;94.93;;;90.38;77.09
10.08.1987;93.96;;;90.98;81.52;94.52;;;89.75;76.67
11.08.1987;93.98;;;91.3;82.62;93.31;;;89.4;76.36
12.08.1987;94.93;;;92.1;83.43;94.12;;;90.19;76.82
13.08.1987;94.76;;;91.85;83.3;93.89;;;90.35;76.67
14.08.1987;95.98;;;93.22;84.38;95.31;;;91.5;78.01
17.08.1987;95.51;;;93;83.65;95.39;;;91.64;77.89
18.08.1987;96.2;;;93.73;83.71;96.54;;;92.59;78.83
19.08.1987;95.25;;;92.7;82.95;95.63;;;91.4;78.32
20.08.1987;95.78;;;93.74;83.12;96.86;;;92.62;79.29
21.08.1987;96.72;;;94.74;84.73;97.8;;;93.43;79.85
24.08.1987;97.41;;;94.86;85.63;97.94;;;93.07;80.04
25.08.1987;96.7;;;94.33;85.47;96.73;;;92.12;79.62
26.08.1987;97.18;;;94.43;85.38;97.66;;;92.51;80.11
27.08.1987;97.93;;;95.35;85.71;98.04;;;93.8;80.89
28.08.1987;98.55;;;95.74;86.19;98.85;;;94.27;81.26
31.08.1987;98.81;;;96.12;86.3;99.18;;;95.05;81.63
01.09.1987;100.11;;;96.86;87.01;100.12;;;95.51;81.76
02.09.1987;100.15;;;97.12;87.04;100.22;;;95.75;81.75
03.09.1987;100.87;;;97.1;87.87;100.25;;;95.08;81.9
04.09.1987;100.07;;;96.51;87.84;98.9;;;94.19;81.58
07.09.1987;99.57;;;96.54;88.21;97.64;;;93.77;81.05
08.09.1987;99.59;;;96.45;87.96;97.86;;;93.56;81.1
09.09.1987;99.37;;;95.9;87.09;98.07;;;93.27;81.08
10.09.1987;99.25;;;95.59;87.02;98.19;;;92.98;81.2
11.09.1987;100.02;;;96.28;87.61;99.03;;;93.74;82.22
14.09.1987;100.11;;;95.66;86.88;99.41;;;93.27;81.29
15.09.1987;100.65;;;96.24;87.27;100.19;;;93.49;81.68
16.09.1987;100.45;;;96.58;87.65;99.42;;;93.91;81.63
17.09.1987;100.68;;;96.97;88.13;99.39;;;94.34;82
18.09.1987;101.18;;;97.64;89.27;99.42;;;94.64;82.53
21.09.1987;100.87;;;97.29;89.36;99.18;;;94.14;82.22
22.09.1987;100.61;;;97.24;88.84;98.82;;;93.83;81.59
23.09.1987;101.65;;;98.01;89.05;99.71;;;94.71;81.99
24.09.1987;101.02;;;97.26;88.09;99.42;;;94.15;81.84
25.09.1987;101.42;;;97.64;88.8;99.35;;;94.37;81.58
28.09.1987;101.58;;;97.9;89.38;99.12;;;94.44;81.59
29.09.1987;101.29;;;97.35;89.01;99.29;;;93.91;81.32
30.09.1987;101.01;;;96.98;88.94;99.06;;;93.44;80.64
01.10.1987;100.9;;;96.87;88.92;99.38;;;93.42;80.42
02.10.1987;102.37;;;97.9;89.88;101.07;;;94.36;81.45
05.10.1987;102.91;;;98.95;90.16;101.38;;;95.42;82
06.10.1987;103.02;;;99.15;90.25;101.31;;;95.83;82.31
07.10.1987;102.94;;;99.05;90.39;100.83;;;95.52;82.31
08.10.1987;103.42;;;99.8;91.22;101.28;;;96.04;82.62
09.10.1987;102.77;;;99.48;91.14;100.04;;;95.24;82.3
12.10.1987;102.8;;;98.68;90.48;100.64;;;94.38;81.31
13.10.1987;102.21;;;98.83;90.45;99.55;;;94.39;80.92
14.10.1987;102.54;;;98.61;90.68;100.47;;;94.46;80.54
15.10.1987;101.57;;;98.13;90.21;99.07;;;93.94;79.49
16.10.1987;100.76;;;96.72;89.73;98.14;;;92.93;79.37
19.10.1987;93.23;;;90.21;83.2;90.74;;;87.77;74.84
20.10.1987;84.27;;;82.88;74.13;85.87;;;82.6;71.88
21.10.1987;87.88;;;87.55;78.37;90.18;;;86.45;74.02
22.10.1987;83.14;;;84.56;74.27;86.54;;;84.43;71.74
23.10.1987;81.86;;;83.78;73.19;86.3;;;83.74;71.67
26.10.1987;76.46;;;79.12;67.74;81.34;;;79.66;67.8
27.10.1987;77.07;;;79.97;68.85;82.23;;;79.62;67.91
28.10.1987;74.32;;;77.56;66.64;78.84;;;76.63;64.89
29.10.1987;73.58;;;76.99;67.32;77.86;;;75.14;64.19
30.10.1987;78.13;;;79.95;70.44;82.02;;;78.13;67.17
02.11.1987;77.95;;;80.3;70.57;82.28;;;78.53;67.56
03.11.1987;75.42;;;78.69;68.46;80.39;;;77.93;66.38
04.11.1987;73.32;;;76.97;66.67;77.73;;;76.6;65
05.11.1987;74.6;;;77.83;67.6;78.34;;;76.5;65.24
06.11.1987;75.07;;;77.77;67.44;79;;;76.15;65.74
09.11.1987;72.1;;;75.47;65.16;76.16;;;74.29;64.19
10.11.1987;69.15;;;72.69;63.55;72.12;;;70.81;60.67
11.11.1987;71.81;;;74.62;65.41;74.25;;;72.07;60.99
12.11.1987;75.14;;;76.78;67.59;78.06;;;74.56;63.53
13.11.1987;75.37;;;77.12;67.98;78.29;;;74.6;63.78
16.11.1987;74.82;;;77.48;68.22;78.46;;;75.52;64.84
17.11.1987;74.11;;;77.13;67.64;77.9;;;75.43;64.46
18.11.1987;74.73;;;77.55;68.15;78.4;;;75.79;64.66
19.11.1987;74.44;;;77;67.38;78.47;;;75.5;64.28
20.11.1987;73.58;;;75.64;66.58;77.42;;;73.75;62.68
23.11.1987;74.54;;;76.39;67.8;77.92;;;74.71;63.73
24.11.1987;75.86;;;77.22;68.47;78.93;;;75.84;64.82
25.11.1987;76.53;;;78.33;68.94;80.01;;;77.04;66.04
26.11.1987;75.18;;;78.44;68.83;78.14;;;77.11;65.26
27.11.1987;76.11;;;79.3;68.95;79.49;;;78.24;65.68
30.11.1987;75.05;;;78.09;67.14;78.55;;;78.03;65.35
01.12.1987;74.69;;;77.16;66.73;77.83;;;76.97;64.68
02.12.1987;74.75;;;77.42;66.99;77.42;;;77.02;64.47
03.12.1987;73.88;;;76.7;66.31;76.11;;;76.28;63.63
04.12.1987;72.13;;;75.1;65.28;74.24;;;74.39;61.68
07.12.1987;71.84;;;74.54;65.22;73.59;;;73.56;60.9
08.12.1987;72.67;;;75.32;66.14;74.3;;;74.08;61.4
09.12.1987;73.96;;;76.1;66.56;75.04;;;74.64;61.77
10.12.1987;74.48;;;77.38;67.15;75.97;;;76.07;63.01
11.12.1987;75.22;;;77.47;68.37;76.26;;;75.66;63.08
14.12.1987;76.08;;;77.81;68.67;76.69;;;76.11;63.77
15.12.1987;76.96;;;78.38;69.65;77.85;;;76.84;64.32
16.12.1987;78.73;;;79.63;70.81;80.19;;;78.38;66.08
17.12.1987;78.74;;;80.27;71.67;80.38;;;78.99;66.49
18.12.1987;78.18;;;79.73;71.96;78.97;;;78.12;65.91
21.12.1987;79.51;;;80.57;72.8;80.34;;;78.41;66.56
22.12.1987;79.88;;;80.98;73.05;80.65;;;78.87;66.79
23.12.1987;80.09;;;81.42;73.3;80.46;;;78.93;66.83
24.12.1987;81.03;;;82.14;74.25;80.97;;;79.43;67.21
25.12.1987;80.87;;;82.14;74.24;80.69;;;79.42;67.16
28.12.1987;81.25;;;82.23;74.71;80.48;;;79.06;66.61
29.12.1987;79.03;;;81.19;72.51;78.82;;;78.56;65.89
30.12.1987;79.65;;;82.04;73.68;79.27;;;79.22;66.23
31.12.1987;79.93;;;82.53;73.59;80.09;;;80.1;66.9
01.01.1988;79.93;;;82.53;73.59;80.09;;;80.1;66.91
04.01.1988;78.24;;;80.8;73.34;76.27;;;77.72;65.17
05.01.1988;78.88;;;81.11;73.74;77.19;;;77.96;65.44
06.01.1988;78.85;;;80.54;73.26;77.1;;;77.53;65.3
07.01.1988;79.86;;;81.22;73.77;78.38;;;78.67;65.67
08.01.1988;79.61;;;81.02;73.43;78.47;;;78.57;65.63
11.01.1988;77.96;;;80.04;72.58;76.48;;;77.37;64.34
12.01.1988;77.89;;;79.8;72.2;76.58;;;77.22;64.53
13.01.1988;76.79;;;79.12;71.76;75.23;;;76.49;63.48
14.01.1988;76.63;;;78.83;71.85;75.07;;;76.14;63.62
15.01.1988;75.37;;;77.68;71.13;72.65;;;74.64;62.18
18.01.1988;76.73;;;78.86;71.79;75.29;;;76.29;63.22
19.01.1988;75.5;;;78.4;71.17;74.05;;;75.88;62.39
20.01.1988;74.86;;;78.45;70.98;73.44;;;75.54;62.06
21.01.1988;73.9;;;77.93;70.47;72.41;;;74.84;61.01
22.01.1988;74.26;;;77.8;70.8;72.65;;;74.57;61.02
25.01.1988;73.17;;;77.25;70.42;71.9;;;73.99;60.74
26.01.1988;73.36;;;77.65;70.72;72.45;;;74.48;61.12
27.01.1988;73.55;;;77.56;70.78;72.33;;;74.39;61
28.01.1988;72.95;;;77.42;71.05;71.29;;;73.88;60.46
29.01.1988;72.59;;;77.2;70.93;70.92;;;73.54;59.94
01.02.1988;72.2;;;76.88;70.06;70.94;;;73.19;59.91
02.02.1988;72.37;;;77.05;70.43;71.13;;;73.33;60.52
03.02.1988;72.73;;;76.94;70.51;71.76;;;73.22;61.08
04.02.1988;72.87;;;77.26;70.56;72.44;;;73.72;61.38
05.02.1988;71.8;;;76.96;69.9;71.69;;;73.77;61.52
08.02.1988;71.12;;;76.12;68.25;72.17;;;73.52;61.23
09.02.1988;70.82;;;75.55;68.12;71.36;;;72.77;60.99
10.02.1988;72.06;;;76.3;69.24;72.15;;;73.54;61.69
11.02.1988;72.95;;;77.3;70.09;73.1;;;74.94;63.09
12.02.1988;72.42;;;77.07;69.59;72.29;;;74.97;62.3
15.02.1988;73.01;;;78.13;70.13;73.27;;;76.22;62.98
16.02.1988;73.4;;;78.4;70.28;73.71;;;76.57;63.37
17.02.1988;74.31;;;79.17;70.97;74.05;;;77.58;64.21
18.02.1988;74.05;;;78.8;70.54;74;;;77.55;64.41
19.02.1988;73.99;;;79.18;70.84;74.18;;;77.85;65.54
22.02.1988;75.42;;;80.19;71.92;75.65;;;78.87;66.4
23.02.1988;76.38;;;80.76;72.52;76.65;;;79.48;66.5
24.02.1988;76.06;;;81.24;72.96;76.9;;;80.02;66.87
25.02.1988;77.41;;;82.35;74.46;78.41;;;80.88;67.65
26.02.1988;76.62;;;81.88;73.8;77.55;;;80.51;67.13
29.02.1988;76.88;;;82.33;73.73;78.06;;;81.11;67.53
01.03.1988;77.95;;;83.69;74.56;79.01;;;82.56;68.88
02.03.1988;77.92;;;83.37;75.27;78.48;;;81.7;68.33
03.03.1988;77.8;;;83.1;75.05;77.95;;;81.26;68.06
04.03.1988;78.24;;;83.63;76.11;77.9;;;81.32;68.25
07.03.1988;78.89;;;84.53;77.34;78.6;;;82.07;68.83
08.03.1988;79.45;;;85.23;77.85;79.16;;;82.93;69.07
09.03.1988;79.45;;;85.43;78.1;79.26;;;83.2;69.47
10.03.1988;79.91;;;85.38;78.42;79.54;;;83.18;69.63
11.03.1988;79.26;;;85.29;77.92;79.17;;;83.26;69.27
14.03.1988;78.94;;;84.93;77.91;79.07;;;82.86;69.04
15.03.1988;79.95;;;85.94;78.67;79.98;;;83.48;69.4
16.03.1988;79.69;;;86.24;78.11;80.53;;;84.23;69.93
17.03.1988;79.69;;;85.7;77.58;80.22;;;83.84;69.52
18.03.1988;80.77;;;86.32;78.49;81.12;;;84.65;70.36
21.03.1988;80.41;;;85.91;77.84;81.02;;;84.32;70.07
22.03.1988;80.21;;;85.07;77.81;80.48;;;83.12;69.28
23.03.1988;80.58;;;85.31;77.95;81.22;;;83.45;69.96
24.03.1988;80.17;;;85.05;77;81.41;;;83.74;70.48
25.03.1988;79.16;;;83.94;75.88;80.05;;;82.82;69.47
28.03.1988;77.91;;;82.98;75.5;78.5;;;81.62;68.65
29.03.1988;79.09;;;84.05;76.64;79.79;;;82.41;69.17
30.03.1988;79.35;;;83.98;76.49;80.31;;;82.55;69.19
31.03.1988;79.26;;;84.27;76.56;80.58;;;83;69.55
01.04.1988;79.33;;;84.35;76.61;80.63;;;83.07;69.5
04.04.1988;79.53;;;84.46;76.79;80.86;;;83.13;69.73
05.04.1988;78.56;;;83.57;75.96;80.03;;;81.98;69.05
06.04.1988;79.06;;;84.01;76.61;80.5;;;82.43;69.4
07.04.1988;79.36;;;83.76;76.78;80.57;;;82.57;69.61
08.04.1988;80.05;;;84.12;77.58;80.88;;;82.47;69.77
11.04.1988;80.55;;;83.87;77.7;81.2;;;82.35;70.06
12.04.1988;81.05;;;83.83;77.67;82.04;;;82.45;70.42
13.04.1988;80.79;;;83.61;77.53;81.84;;;82.29;70.63
14.04.1988;81.5;;;84.8;78.34;83.2;;;83.54;71.43
15.04.1988;80.54;;;84.19;77.97;81.53;;;82.66;70.44
18.04.1988;81.18;;;84.49;78.38;82.11;;;82.76;70.62
19.04.1988;81.13;;;84.15;78.64;82.07;;;82.25;70.55
20.04.1988;80.6;;;83.95;78.15;81.79;;;82.06;70.6
21.04.1988;80.6;;;83.92;78.41;81.34;;;81.9;70.64
22.04.1988;80.44;;;83.29;77.81;81.42;;;81.63;70.67
25.04.1988;80.2;;;82.86;77.59;81.14;;;81.21;70.48
26.04.1988;80.85;;;83.28;78.18;80.82;;;81.38;70.94
27.04.1988;80.92;;;83.15;78.28;80.85;;;81.08;70.94
28.04.1988;80.87;;;83.35;78.5;81.31;;;81.43;71.47
29.04.1988;80.56;;;83.31;78.28;80.63;;;81.22;71
02.05.1988;80.36;;;82.95;77.99;80.56;;;80.86;70.87
03.05.1988;80.56;;;82.82;78.1;80.1;;;80.79;70.68
04.05.1988;80.58;;;82.55;78.18;80.61;;;80.82;71.12
05.05.1988;80.41;;;82.47;77.63;80.46;;;80.79;71.03
06.05.1988;80.41;;;82.46;77.69;80.09;;;80.48;70.94
09.05.1988;80.13;;;82.33;77.97;79.45;;;80.06;70.82
10.05.1988;79.87;;;82.3;77.62;79.04;;;79.81;70.43
11.05.1988;78.61;;;81.48;76.49;77.91;;;79.15;69.63
12.05.1988;78.51;;;81.4;76.72;77.49;;;78.69;69.06
13.05.1988;79.2;;;81.24;76.97;78.29;;;78.65;69.01
16.05.1988;79.81;;;81.71;77.09;79.72;;;79.26;69.56
17.05.1988;79.52;;;81.18;76.65;79.3;;;78.56;69.63
18.05.1988;79.19;;;81.22;76.29;79.37;;;78.37;69.46
19.05.1988;78.78;;;80.75;75.77;78.86;;;77.58;69
20.05.1988;79.44;;;81.08;76.03;79.58;;;77.95;69.31
23.05.1988;79.57;;;80.99;75.99;79.54;;;77.81;69.2
24.05.1988;80.23;;;81.42;76.72;79.58;;;78.12;69.45
25.05.1988;80.86;;;81.85;77.33;80.92;;;78.92;70.34
26.05.1988;80.63;;;81.35;77.03;80.7;;;78.35;70.2
27.05.1988;80.71;;;81.24;76.95;80.72;;;78.13;70.33
30.05.1988;81.04;;;80.79;76.7;81.5;;;77.62;70.32
31.05.1988;81.25;;;81.18;76.68;82.15;;;78.27;70.88
01.06.1988;81.89;;;82.47;77.12;83.01;;;80.11;71.64
02.06.1988;81.59;;;82.23;76.44;82.9;;;80.14;71.4
03.06.1988;82.63;;;82.86;76.83;83.45;;;80.83;71.94
06.06.1988;83.7;;;83.48;77.52;84.48;;;81.32;72.93
07.06.1988;83.62;;;83.73;77.69;84.55;;;81.38;73.18
08.06.1988;83.38;;;83.79;77.91;83.86;;;81.27;73.34
09.06.1988;84.11;;;84.6;78.72;85.17;;;82.02;74.31
10.06.1988;84.4;;;84.96;78.88;85.29;;;82.13;74.46
13.06.1988;84.05;;;84.4;78.46;84.99;;;81.66;74.01
14.06.1988;83.69;;;83.76;78.27;84.09;;;80.75;73.59
15.06.1988;84.22;;;83.7;78.56;84.79;;;80.76;73.68
16.06.1988;83.71;;;83.31;78.21;84.24;;;80.42;73.19
17.06.1988;83.71;;;83.01;77.88;84.31;;;80.26;73.09
20.06.1988;83.33;;;82.81;77.81;83.62;;;80.23;73
21.06.1988;83.58;;;82.94;78.16;83.89;;;80.27;72.93
22.06.1988;83.95;;;82.75;78.05;84.4;;;79.72;72.64
23.06.1988;83.19;;;82.53;77.89;83.15;;;79.7;72.98
24.06.1988;81.63;;;81.44;76.89;81.75;;;79.1;72.65
27.06.1988;80.36;;;80.46;75.33;81.03;;;78.58;72.01
28.06.1988;80.9;;;81.03;76.17;81.07;;;78.69;72.06
29.06.1988;80.23;;;80.38;75.56;80.58;;;78.09;71.41
30.06.1988;80.36;;;80.57;75.59;80.77;;;78.33;71.88
01.07.1988;80.67;;;81.05;75.64;81.17;;;79.33;72.1
04.07.1988;80.4;;;80.73;74.99;81.38;;;79.28;72
05.07.1988;81.76;;;81.65;76.26;82.26;;;79.79;72.53
06.07.1988;82.56;;;82.45;77.03;82.98;;;80.36;73.04
