,StartDate,EndDate,HP-HP(-1),HP-SZ(-1),HP-HP(-2),HP-SZ(-2),SZ-HP(-1),SZ-SZ(-1),SZ-HP(-2),SZ-SZ(-2),HP-const-p,SZ-const-p,HP-HP(-1)-p,SZ-HP(-1)-p,HP-SZ(-1)-p,SZ-SZ(-1)-p,HP-HP(-2)-p,SZ-HP(-2)-p,HP-SZ(-2)-p,SZ-SZ(-2)-p
0,2006-01-01,2007-06-01,-0.45937676187793913,0.0148272444178487,-13.530076610073792,0.4801045418626716,0.31410225609046155,0.006031426559292599,18.462491432378,-0.5602264483216124,0.003124960856970004,0.5919885205512834,0.044824059272016534,0.28907388680799107,0.000851880932692822,0.05267399613004475,0.1504714676169578,0.12944771650321488,0.2530177917377704,0.05680521780038514
1,2006-02-01,2007-07-01,-0.48909540158992293,0.013372231989853807,-17.790505725864453,0.3791348456489126,0.40355409364565975,0.00615302186699432,18.49655263849184,-0.49108991133374047,0.03110150000461072,0.49726859039657856,0.06828005464027115,0.2151985558024132,0.0056425476655065174,0.14247135478943507,0.11213063030427821,0.17355122786115296,0.31342443854208013,0.132666533605228
2,2006-03-01,2007-08-01,-0.3374284481131477,0.013816163710195159,-14.8853750033265,0.49440572518969383,0.3867628020212351,0.0011413866245118243,25.014540962903197,-0.5560502829777424,0.06548009246100397,0.851315909092039,0.18594753391428231,0.23141284607014434,0.00956017910138503,0.05718340168912131,0.18564494839889867,0.07913041842609085,0.824849931525997,0.02701313233167143
3,2006-04-01,2007-09-01,-0.09755085066716822,0.017967897996325623,-18.06296838973927,0.49256925818577385,0.6850861545110898,0.0012058373604870404,23.327284962129596,-0.5537902746831103,0.6624963934345841,0.6655319001870706,0.7779808314043533,0.17653116989566786,0.0046076024872751635,0.044358596351567775,0.047044421448002575,0.08003048301339857,0.8518617946018572,0.02640593759791115
4,2006-05-01,2007-10-01,0.3417658791023165,0.017467706386303548,-9.307046433880572,0.48613749309964854,0.9673664412828278,-0.0021044658329337266,29.597199621994964,-0.6243377318305521,0.41246231925765764,0.78753577084046,0.23387835565537063,0.3557931400962323,0.01724045730071294,0.05903309134164096,0.02176109175281128,0.045535686704635106,0.7729036407210685,0.014741871922623249
5,2006-06-01,2007-11-01,0.049408311113705465,0.01275148424176043,-25.411618311553152,0.22873434555586686,0.5187785365839888,0.00601672469740449,1.6300168355002203,-0.18009712935201413,0.4227607879969991,0.01736926296372293,0.8573096793458745,0.030795786385628354,0.09078974584701621,0.47862498790903785,0.12836475946020817,0.9111552886800393,0.38139810003244756,0.5405977391224707
6,2006-07-01,2007-12-01,0.08441104977028924,0.019896030574314286,-27.34636310097788,0.05769263865724654,0.34886679248364455,0.006736566729902296,1.2029127238204094,-0.20931602839816185,0.5319690656491053,0.005161521013073922,0.794002486624338,0.014086863905688356,0.019238257509575522,0.8438307560346673,0.3671531503613006,0.9280934633845186,0.40234448826755387,0.4501498070837364
7,2006-08-01,2008-01-01,0.16581485674529953,0.01902796468267839,-6.806423532429028,-0.3422073066708102,0.29128325040538305,0.009151595561878213,-22.378978223362992,0.1666492465601996,0.6711236065481199,0.082184053820315,0.5736892316985901,0.6443594148894636,0.03354594230562012,0.44484233172655285,0.47258953793688363,0.27002737653335784,0.2343226628898799,0.6651084172288311
8,2006-09-01,2008-02-01,0.19372247863068373,0.014692187631421808,-8.363880793090841,0.10860569754017195,0.10264907684209841,0.009285837942422394,-2.127891960429674,0.16587890566177899,0.15263485082924547,0.29593756121970116,0.5154503243573392,0.5997152301072324,0.01363468129297337,0.7332530220602596,0.7045200663105426,0.883189158293006,0.23119244717689746,0.6893455569389608
9,2006-10-01,2008-03-01,0.29255829697959373,0.012806710719886398,-14.430964845276346,0.23590085876379896,-0.06366867278697878,0.005246630256232686,8.539735836393271,0.4693446370711933,0.026800081163648435,0.760034622535226,0.31751370184781713,0.38837689372118844,0.026056086224289426,0.4733058693844552,0.8034382771148924,0.5592009458923648,0.4350353398510154,0.22185437579461165
10,2006-11-01,2008-04-01,0.34237860593500186,0.011547829243250169,-2.5152040437029872,0.004836435886894633,-0.1064679588691161,0.00465213779487549,0.765136801720047,0.34053780895118013,0.02170082686399131,0.8504466643074984,0.2598525916406248,0.8753287471203866,0.02411528538313535,0.985715706089779,0.6560123386078752,0.9516180089654325,0.4889105063894269,0.33695581540490627
11,2006-12-01,2008-05-01,0.30750990049150423,0.015657418565420963,-2.7120966215543962,0.01592399045655967,-0.20970078602255138,0.007658949940560544,0.4782453233967141,0.3609247142483596,0.0022958335445484685,0.8412553120816115,0.2452373703343571,0.8654715391337656,0.0016713284484094614,0.9578561946642791,0.33093148928799165,0.9707609107812458,0.15725390707519565,0.2705440344152339
12,2007-01-01,2008-06-01,0.36295574289606936,0.015960465952949796,-1.3237222822698083,0.08657243567834097,-0.19270562932093688,0.006145155714078169,3.5104860282671413,0.3539169487654338,0.008270547819732302,0.8548072882280813,0.21290430786918635,0.943952333438524,0.0020409713797181757,0.7957161274092457,0.3860616352798081,0.8069523914303253,0.35481469810687283,0.409544767948852
13,2007-02-01,2008-07-01,0.4090913592439532,0.014699970083084324,-4.006911938256207,0.04772828027195418,-0.21903115171094506,0.005135515795127818,4.1958867125063755,0.36706320533650794,0.005920427713485736,0.9252219696490671,0.16857189043012177,0.8333886644407277,0.0022774164420660764,0.877178480624842,0.32430876039261547,0.7683513975883995,0.43728239613896946,0.3864484093886873
