,StartDate,EndDate,Date,const,szgrowth(-1)+,szgrowth(-1),const-p,szgrowth(-1)+p,szgrowth(-1)p,rsquared,rsquared_adj
12,2007-02-01,2008-07-01,2007-11-01,0.5546523308313627,0.006545936801773733,0.014801450821816498,0.0004889861381522551,0.7440062903313025,0.1578234966646136,0.47313064223728574,0.40288139453559046
13,2007-03-01,2008-08-01,2007-12-01,0.45624483412914546,0.018900693585762088,0.008989270398886296,0.0021075519122364375,0.3454854376188007,0.38034865070316237,0.4707727267099625,0.4002090902712908
14,2007-04-01,2008-09-01,2008-01-01,0.4472337107374542,0.01884335725335133,0.009686872605835051,0.004026120981296168,0.36889329750659217,0.361209524519539,0.4975182003053702,0.43052062701275295
15,2007-05-01,2008-10-01,2008-02-01,0.37684478348593875,0.02755307833980308,0.006430896603968021,0.01359137891737638,0.21330024570324463,0.5648824891172939,0.4861649890890555,0.4176536543009296
16,2007-06-01,2008-11-01,2008-03-01,0.4072005168425064,0.020279644068373452,0.01429573746212718,0.015491273595576019,0.42631641212755866,0.20051141214493193,0.49290235444661956,0.42528933503950217
17,2007-07-01,2008-12-01,2008-04-01,0.3420077627609871,0.019330499575696648,0.010593748617480189,0.11397012979118626,0.5741970812297836,0.47749739415761616,0.2653744682433591,0.1674243973424736
18,2007-08-01,2009-01-01,2008-05-01,0.16628317853594013,0.041915545986898714,0.002999923354965569,0.4089850583623711,0.21734438906925896,0.8343410203380919,0.3182534645447054,0.22735392648399944
19,2007-09-01,2009-02-01,2008-06-01,0.13845959751044817,0.03716426731562256,0.0014435186025966986,0.544148283451455,0.37594117145975015,0.9286672262370301,0.1675176174996189,0.05651996649956814
20,2007-10-01,2009-03-01,2008-07-01,0.24696646326566155,-0.009383923974147224,0.007513211837674371,0.3055603636033255,0.8577488183743829,0.6464271528345492,0.022046316155098,-0.10834750835755558
21,2007-11-01,2009-04-01,2008-08-01,0.17241692225975924,-0.008083873746212802,0.0033430347565072353,0.33752195888410375,0.8145905826450961,0.7887385243123326,0.0049845640923819046,-0.12768416069530053
22,2007-12-01,2009-05-01,2008-09-01,0.16818664421464244,-0.015176288947216614,0.0031064000527561593,0.2794730545519296,0.6180090590494597,0.7746759914811553,0.01960770820543667,-0.11111126403383831
23,2008-01-01,2009-06-01,2008-10-01,0.20097111255728184,-0.013845230391364231,0.004449306609456428,0.23348685530569568,0.67724639117663,0.7145441150234038,0.012038822553757877,-0.11968933443907437
24,2008-02-01,2009-07-01,2008-11-01,0.15977066315854546,0.0013060586799388436,0.002137940945201057,0.35678995999303653,0.9680487662564554,0.8661704037425393,0.008280043585469521,-0.12394928393646776
25,2008-03-01,2009-08-01,2008-12-01,0.08568328513183097,0.024332107471090852,-0.00029467957791334386,0.6357346805286237,0.4513680962984755,0.9831566163919897,0.10527904641910057,-0.014017080725019282
26,2008-04-01,2009-09-01,2009-01-01,-0.043497672427907697,0.049155481339741375,-0.012749270791172648,0.8265326759097869,0.15760739666082899,0.354543642332399,0.14353572744074217,0.02934049109950776
27,2008-05-01,2009-10-01,2009-02-01,0.016130690867544234,0.03993359866924055,-0.007401147215467776,0.9340835490756962,0.2533875241523763,0.6069402543784759,0.12270358941160675,0.005730734666487658
28,2008-06-01,2009-11-01,2009-03-01,0.02718353318952224,0.04118065747470427,-0.006806804620450307,0.8943128626576775,0.25778126232735316,0.6501342878663645,0.1313712777236995,0.015554114753526083
29,2008-07-01,2009-12-01,2009-04-01,0.0514307595135252,0.04151917789555511,-0.004731353877017492,0.8212089366937889,0.29776717304011513,0.7684450247970944,0.1349138221661913,0.019568998455016806
30,2008-08-01,2010-01-01,2009-05-01,0.26173363841086195,0.010474988847945794,0.00826010462023838,0.3207681119137159,0.821814200618461,0.6869298651739615,0.06940380364770016,-0.054675689199273236
31,2008-09-01,2010-02-01,2009-06-01,0.4122458124226769,-0.005890120854727718,0.009495220842336241,0.18761075946631783,0.9134430706660175,0.6888829605610678,0.022702227241097828,-0.10760414246008909
32,2008-10-01,2010-03-01,2009-07-01,0.44565763215142923,-0.009514133455983245,0.010037299364198449,0.13325867155169596,0.8544940615367411,0.6684112033481762,0.018033529705115292,-0.11289533300086929
33,2008-11-01,2010-04-01,2009-08-01,0.5992587397611107,-0.03060752555021761,0.015981006406447174,0.04678337450955469,0.5498884311753833,0.4847426170121524,0.03333180601221453,-0.09555728651949025
34,2008-12-01,2010-05-01,2009-09-01,0.5400437459910111,0.003957555348016525,-0.012398770147028051,0.05041968406732124,0.9404547581912026,0.6654971648723409,0.03220111636159961,-0.09683873479018712
35,2009-01-01,2010-06-01,2009-10-01,0.5420742233314321,0.006635503305383586,-0.006474293753617742,0.03175937931798947,0.8906005647131267,0.7999300067586321,0.0059504987154236355,-0.1265894347891865
36,2009-02-01,2010-07-01,2009-11-01,0.6505064853704858,-0.01389416900601776,0.0028694878086798423,0.00991555583511068,0.7627142545733311,0.903947482414508,0.01146852626275019,-0.12033567023554981
37,2009-03-01,2010-08-01,2009-12-01,0.6595866561672834,-0.011301312607155185,0.0035304414966260567,0.005484567166612612,0.7893843939314431,0.8722519842739592,0.006224636473125322,-0.1262787453304579
38,2009-04-01,2010-09-01,2010-01-01,0.730173983659696,-0.019374161709819634,0.00866855568769712,0.000524160479055705,0.580646138535656,0.6432596575362146,0.020833933540601368,-0.10972154198731832
39,2009-05-01,2010-10-01,2010-02-01,0.6885551512181594,-0.005387896723098508,0.00563908395133399,0.0003899187956368892,0.8749790921541685,0.7493018664371338,0.009461579430536382,-0.1226102099787254
40,2009-06-01,2010-11-01,2010-03-01,0.7287278450392951,-0.012936614932172316,0.008563289974548562,0.00021648687967306226,0.6900910763314039,0.622114250537354,0.01666916922913453,-0.1144416082069808
41,2009-07-01,2010-12-01,2010-04-01,0.7309727953600132,-0.012981602577310378,0.008817723477921691,0.0001742708632702789,0.6867156967699446,0.6134161958961664,0.017580326903621435,-0.1134089628425623
