,StartDate,EndDate,Date,const,szgrowth(-1)+,szgrowth(-1),hpgrowth(-1),const-p,szgrowth(-1)+p,szgrowth(-1)p,hpgrowth(-1)-p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,2006-11-01,0.19663392695414464,0.053205421921512536,-0.04228768401094699,0.6486439970645017,0.2027883140725585,0.09664380539796955,0.13549114103963444,0.00417843630650018,0.5979025220640095,0.5117387767920116
1,2006-03-01,2007-08-01,2006-12-01,0.24389189753929708,0.05259272395042032,-0.042026299463919385,0.5924659867477542,0.11190857625812634,0.10016052149860134,0.13777493253184817,0.005721785761467547,0.5974455465827206,0.5111838779933037
2,2006-04-01,2007-09-01,2007-01-01,0.22678282619908668,0.05211361491923708,-0.03988337978048534,0.6288306000845637,0.19537585172373953,0.14500790013090725,0.20672592404436613,0.008137971278451438,0.5751417035008988,0.4841006399653771
3,2006-05-01,2007-10-01,2007-02-01,0.21804913938023343,0.05106804012697698,-0.039146370875227945,0.6448374768008187,0.22088776710865343,0.15454170438705772,0.21704732908874758,0.002785946580533989,0.5734026321013228,0.48198891040874914
4,2006-06-01,2007-11-01,2007-03-01,0.26763592875532083,0.06251870980640134,-0.0478814258939715,0.5212666248271565,0.23183663920953135,0.1452973197613681,0.20859419624190714,0.029352704940087203,0.4289083133881889,0.3065315233999437
5,2006-07-01,2007-12-01,2007-04-01,0.327187028962834,-0.00759324892725095,0.017752234611065856,0.5353950267642167,0.20079250863909553,0.7350911528292752,0.31081911382832167,0.04725972672776491,0.47900751014651854,0.3673662623207725
6,2006-08-01,2008-01-01,2007-05-01,0.31867833978616467,-0.01046070461622356,0.018801906356526683,0.5708122057675151,0.1344175364343206,0.6445651840955721,0.2746119578905103,0.012390251269518242,0.5305785563969196,0.42998824705340244
7,2006-09-01,2008-02-01,2007-06-01,0.3606637874801565,-0.005756104452525477,0.013234457503202792,0.5401652167882912,0.108145221812948,0.78179689169912,0.358656868313851,0.017254786940043912,0.5238582245583343,0.42182784410654883
8,2006-10-01,2008-03-01,2007-07-01,0.3475524613948935,-0.0042756024470868015,0.012746903632179923,0.5420298751042613,0.12085826215220467,0.8357116272517873,0.3790149872958931,0.018277920523262995,0.5295829825359827,0.4287793359365505
9,2006-11-01,2008-04-01,2007-08-01,0.30759842663193065,0.0018101604314877742,0.00755337737166951,0.5650877010476278,0.21078009551920807,0.9264035989965108,0.5594489613645861,0.020965614090505565,0.549265773017392,0.45267986723540465
10,2006-12-01,2008-05-01,2007-09-01,0.1997753726538002,0.007925303989189822,0.0031717685389564335,0.6344636061172402,0.3905370478998774,0.689823510466586,0.8045090825402145,0.009008899381866647,0.5724818419548057,0.48087080808797833
11,2007-01-01,2008-06-01,2007-10-01,0.21209931947963867,0.008626592312224388,0.003649647937905085,0.6252920866752836,0.3283145036736773,0.6536448454100396,0.7702251543895496,0.007484100528937406,0.6101028034797509,0.5265534042254119
12,2007-02-01,2008-07-01,2007-11-01,0.22429203579064202,0.009580601852776427,0.005834423634065944,0.5933233112567043,0.3029966565795967,0.6568790577623818,0.6125528777085021,0.015194268067956165,0.6425510309743664,0.5659548233260163
13,2007-03-01,2008-08-01,2007-12-01,0.12537067964841675,0.015613294418538464,0.0018127303053300566,0.6595865545825489,0.5128445774306716,0.4769434578608617,0.870727212637675,0.0064840335907178125,0.6673008879191598,0.596008221044694
14,2007-04-01,2008-09-01,2008-01-01,0.0648741391589065,0.026041094666091405,-0.0027857375595364067,0.6284381315587038,0.701687758476949,0.21123691311185366,0.7858469920938237,0.003487101050379345,0.7340702547660888,0.677085309358822
15,2007-05-01,2008-10-01,2008-02-01,0.03104237525208893,0.02826614261156003,-0.004111047684866707,0.6451097422309119,0.8423077306170854,0.17145694303966963,0.6831173487752288,0.002825045539074424,0.739975041317565,0.684255407314186
16,2007-06-01,2008-11-01,2008-03-01,0.0542583217882464,0.01199593416595146,0.0038040661491941796,0.7051274377629554,0.7514196855918578,0.6099395546498101,0.7033210396809281,0.0026561708883370305,0.7170019487232234,0.6563595091639142
17,2007-07-01,2008-12-01,2008-04-01,-0.09233415253701259,0.00225831413250251,0.0008289135386291722,0.9820297858828625,0.5834680074527618,0.9298601837130658,0.9389137315150351,7.049220891895182e-05,0.7459140997086542,0.6914671210747945
18,2007-08-01,2009-01-01,2008-05-01,-0.08028644481522013,0.012299629752318061,0.00010168385242638467,0.8332886132803379,0.5577484804871413,0.6207153797598636,0.9917423951972211,6.165012752456063e-05,0.7896933956504782,0.7446276947184378
19,2007-09-01,2009-02-01,2008-06-01,-0.1025033289028334,0.012470940894404037,-0.00040604310507772867,0.8794733504514105,0.47191073071338807,0.6378618341736687,0.9677915952013442,7.638344460013539e-06,0.7954558153904169,0.7516249186883633
20,2007-10-01,2009-03-01,2008-07-01,0.10934831929141346,-0.033330324560828656,0.009297542388412496,0.7445698735578552,0.4541915355079402,0.30527216119793327,0.3585500935030699,1.388614803803025e-05,0.753412110760258,0.7005718487803134
21,2007-11-01,2009-04-01,2008-08-01,0.049815382212421336,-0.014336567070939485,0.004681475873294347,0.6637743343066591,0.7184535141880091,0.5935585134219219,0.6340120747121323,0.00029360363580164725,0.6352983590534639,0.5571480074220634
22,2007-12-01,2009-05-01,2008-09-01,0.11437694921418882,-0.016665698193101312,0.011319731733296961,0.8539542619524686,0.4193582473063824,0.551487877822453,0.27993039741532466,0.00047700923917531917,0.6162598918503315,0.5340298686754026
