,StartDate,EndDate,const,szgrowth(-1),const-p,szgrowth(-1)-p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,0.651007319768879,-0.0047660703946648154,1.1412124918346036e-07,0.4868674887276977,0.030690193110563646,-0.029891669820026223
1,2006-03-01,2007-08-01,0.6536586128822605,0.0005921664963809692,1.9585529579687983e-06,0.941604209672433,0.00034596079860149676,-0.06213241665148583
2,2006-04-01,2007-09-01,0.6644282177449466,0.008079433391940602,0.00013899425378714186,0.4795159470831112,0.031722171155752155,-0.028795193147013398
3,2006-05-01,2007-10-01,0.7114949272744332,0.007634343597589152,0.0003989745130134554,0.57186239227176,0.02039513682274574,-0.04083016712583265
4,2006-06-01,2007-11-01,0.7382443539539411,0.007362904659663494,0.0003007772253187701,0.5927006329127582,0.018281399972313817,-0.04307601252941651
5,2006-07-01,2007-12-01,0.6416874243965429,0.019140526284081378,0.00024296572576340387,0.10597189424021994,0.15501438651903987,0.10220278567647989
6,2006-08-01,2008-01-01,0.6315851132218031,0.01793944666623317,0.00048296422854299356,0.14486919175109572,0.12803418823245138,0.0735363249969796
7,2006-09-01,2008-02-01,0.6120456191788075,0.02009406847617381,0.00038567348943818346,0.0754245350008057,0.18429944214113247,0.13331815727495322
8,2006-10-01,2008-03-01,0.5891735374311982,0.021395301750475267,0.000643654628262178,0.06458998396816575,0.19756592061385714,0.14741379065222326
9,2006-11-01,2008-04-01,0.6013833039590832,0.02114837309850213,0.00028546292273426465,0.04066861599100469,0.23659938974763484,0.18888685160686203
10,2006-12-01,2008-05-01,0.5843959408796567,0.020854825173813776,0.0005006764445061197,0.04884816343245861,0.2212471715325428,0.17257511975332673
11,2007-01-01,2008-06-01,0.5782384824937854,0.024672596107004265,0.00035216984526387045,0.01979390679851661,0.29517949191330584,0.25112821015788744
12,2007-02-01,2008-07-01,0.6090473898818809,0.030833698733891753,7.396793392313676e-05,0.003651232340252135,0.4196143548399306,0.3833402520174263
13,2007-03-01,2008-08-01,0.5657291673876204,0.030693724327971544,0.0003289080068191167,0.006477934557800956,0.37957844014916897,0.34080209265849204
14,2007-04-01,2008-09-01,0.5160915651805724,0.03364089169041553,0.0010814657828514688,0.0037792612579084046,0.41727133959561946,0.38085079832034563
15,2007-05-01,2008-10-01,0.48068388011203034,0.03494520891958109,0.002960190874931112,0.004793046794288202,0.400894445972966,0.36345034884627636
16,2007-06-01,2008-11-01,0.5084031644769095,0.040667432619319446,0.0021542342677315597,0.00136470119798375,0.4831346632927588,0.4508305797485562
17,2007-07-01,2008-12-01,0.41013840702344184,0.03510074277333036,0.019961319524286893,0.009653353890256266,0.3503961122646204,0.3097958692811592
18,2007-08-01,2009-01-01,0.3293874310743554,0.03621522591202572,0.04367948054833046,0.005855436213022229,0.3867969464900798,0.34847175564570976
19,2007-09-01,2009-02-01,0.24683559510947226,0.03003618352095388,0.1318591164099016,0.025369497833926172,0.27532942428485674,0.2300375133026603
20,2007-10-01,2009-03-01,0.12223628057951916,0.01884766081469934,0.38521141938739467,0.11292455610554095,0.14952668517779877,0.09637210300141119
21,2007-11-01,2009-04-01,0.018502098410439344,0.012965679574535734,0.8507150649349839,0.11249042504834433,0.14985934664968326,0.09672555581528841
22,2007-12-01,2009-05-01,-0.020600250964552227,0.010115071197642732,0.7983463363862421,0.1316787746786413,0.13626201902761725,0.08227839521684333
23,2008-01-01,2009-06-01,0.02739782468212327,0.013318020467488076,0.7613535445413644,0.09575476202993412,0.16376443590907275,0.1114997131533898
24,2008-02-01,2009-07-01,0.07882994858052408,0.017719127873672094,0.4310725907868579,0.04469251701713213,0.22871529629807474,0.18051000231670444
25,2008-03-01,2009-08-01,0.10307682661530737,0.023244237723906363,0.3183503198469642,0.013877282553431325,0.3229100627474779,0.2805919416691953
26,2008-04-01,2009-09-01,0.1598021620350778,0.015138096822131773,0.1998191611920052,0.12025082235211898,0.14409812548372425,0.09060425832645702
27,2008-05-01,2009-10-01,0.1914646270086095,0.01922293422931095,0.15066843552905096,0.0854784749518142,0.1735468021310812,0.1218934772642738
28,2008-06-01,2009-11-01,0.25152776399535093,0.02239919918824694,0.08328214236792868,0.06308676687808273,0.19957372088786873,0.14954707844336057
29,2008-07-01,2009-12-01,0.3237080764226845,0.024845627924114093,0.04861241127599356,0.06428435847534594,0.19797047760128994,0.14784363245137055
30,2008-08-01,2010-01-01,0.3394678839078151,0.027618170220996375,0.04569806362477023,0.06670706717261579,0.19481300048221362,0.14448881301235195
31,2008-09-01,2010-02-01,0.40065469548343535,0.025484258948196427,0.01958947246598964,0.0796105418394523,0.17966252840269614,0.12839143642786466
32,2008-10-01,2010-03-01,0.4631520032044229,0.02079074003810255,0.0076791152534705035,0.15560638849169875,0.1218855682896538,0.06700341630775719
33,2008-11-01,2010-04-01,0.5504798986221306,0.018100735148541852,0.002055833472223016,0.20834953568692832,0.0970056326006532,0.04056848463819407
34,2008-12-01,2010-05-01,0.6367272996686881,0.0031664810061813077,0.00042602150930266716,0.8396590936224593,0.0026362429704289703,-0.05969899184391925
35,2009-01-01,2010-06-01,0.63694946199502,0.013546377614934322,0.00011083829861318978,0.3234123135608947,0.06093092575626402,0.002239108616030494
36,2009-02-01,2010-07-01,0.6491237120666784,0.014653830241170677,5.069864785710972e-05,0.25407192882960294,0.08043863316216493,0.022966047734800266
37,2009-03-01,2010-08-01,0.6528761381313692,0.01464150676181769,4.0968286449080565e-05,0.24641287126809003,0.082969091068681,0.02565465926047361
