日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2017年1月,101.7,三亚,3,3,2017-01-01,0.017000000000000126,2.1205173265160533
2016年12月,101.2,三亚,3,3,2016-12-01,0.01200000000000001,2.085071117518243
2016年11月,100.8,三亚,3,3,2016-11-01,0.008000000000000007,2.0603469540694097
2016年10月,100.9,三亚,3,3,2016-10-01,0.009000000000000119,2.0439949941164777
2016年9月,101.2,三亚,3,3,2016-09-01,0.01200000000000001,2.0257631259826336
2016年8月,100.7,三亚,3,3,2016-08-01,0.007000000000000117,2.0017422193504286
2016年7月,99.7,三亚,3,3,2016-07-01,-0.0030000000000000027,1.9878274273589158
2016年6月,99.8,三亚,3,3,2016-06-01,-0.0020000000000000018,1.993808853920678
2016年5月,100.4,三亚,3,3,2016-05-01,0.0040000000000000036,1.9978044628463707
2016年4月,99.9,三亚,3,3,2016-04-01,-0.0009999999999998899,1.9898450825163054
2016年3月,99.8,三亚,3,3,2016-03-01,-0.0020000000000000018,1.991836919435741
2016年2月,100.1,三亚,3,3,2016-02-01,0.0009999999999998899,1.995828576588919
2016年1月,100.0,三亚,3,3,2016-01-01,0.0,1.993834741847072
2015年12月,100.5,三亚,3,3,2015-12-01,0.004999999999999893,1.993834741847072
2015年11月,99.7,三亚,3,3,2015-11-01,-0.0030000000000000027,1.9839151660169874
2015年10月,100.0,三亚,3,3,2015-10-01,0.0,1.9898848204784227
2015年9月,100.0,三亚,3,3,2015-09-01,0.0,1.9898848204784227
2015年8月,100.3,三亚,3,3,2015-08-01,0.0029999999999998916,1.9898848204784227
2015年7月,100.2,三亚,3,3,2015-07-01,0.0020000000000000018,1.9839330214141804
2015年6月,99.9,三亚,3,3,2015-06-01,-0.0009999999999998899,1.979973075263653
2015年5月,99.8,三亚,3,3,2015-05-01,-0.0020000000000000018,1.9819550302939468
2015年4月,99.8,三亚,3,3,2015-04-01,-0.0020000000000000018,1.985926884062071
2015年3月,99.9,三亚,3,3,2015-03-01,-0.0009999999999998899,1.989906697456985
2015年2月,99.8,三亚,3,3,2015-02-01,-0.0020000000000000018,1.9918985960530378
2015年1月,99.5,三亚,3,3,2015-01-01,-0.0050000000000000044,1.9958903768066512
2014年12月,99.3,三亚,3,3,2014-12-01,-0.007000000000000006,2.0059199766901017
2014年11月,99.4,三亚,3,3,2014-11-01,-0.005999999999999894,2.0200603994865074
2014年10月,99.3,三亚,3,3,2014-10-01,-0.007000000000000006,2.0322539230246552
2014年9月,99.6,三亚,3,3,2014-09-01,-0.0040000000000000036,2.04657998290499
2014年8月,99.5,三亚,3,3,2014-08-01,-0.0050000000000000044,2.054799179623484
