,StartDate,EndDate,const,szgrowth,szgrowth(-1),const-p,szgrowth-p,szgrowth(-1)-p,rsquared,rsquared_adj
0,2006-02-01,2007-07-01,0.6807781651243718,0.008689646662419167,0.008101708059375635,3.7595308276217576e-06,0.24818237423684447,0.29770489835527236,0.1555288910106244,0.04293274314537432
1,2006-03-01,2007-08-01,0.6934545824622994,0.008407613811132267,0.00899474263501978,2.770673228294516e-06,0.24707359259425504,0.22620980361518314,0.1876569711753937,0.07934456733211293
2,2006-04-01,2007-09-01,0.7343293279633385,0.0057536054811673926,0.011809218830295867,8.456347466840888e-06,0.47501585300025284,0.1431791294659979,0.17194829230352315,0.06154139794399294
3,2006-05-01,2007-10-01,0.7885179923474068,0.006057652847135754,0.00935067183375072,5.679751836323845e-06,0.46619736682608315,0.2658580062518956,0.1218550891429051,0.004769101028625822
4,2006-06-01,2007-11-01,0.7639409899237157,0.009521011461473229,0.009569358053990985,1.9731445810535524e-06,0.16578895641805869,0.2506065926008311,0.20662550465848806,0.10084223861295316
5,2006-07-01,2007-12-01,0.6943339736592317,0.008359977418744575,0.017370159774069503,3.18801450030996e-06,0.25238281068132135,0.02502300843053296,0.3513796370500243,0.26489692199002757
6,2006-08-01,2008-01-01,0.6678662827475821,0.011152406527853726,0.016849376880056784,5.256221722027445e-06,0.10458402145971214,0.03318186721760262,0.3687556151878818,0.2845896972129327
7,2006-09-01,2008-02-01,0.6957569136336864,0.010763833365508256,0.015163126548967553,1.31535451952858e-06,0.11107887895401347,0.03189185252686749,0.3806001361700664,0.2980134876594086
8,2006-10-01,2008-03-01,0.7082568984133909,0.011788792468806788,0.014778021642514308,2.577258364594819e-07,0.04453403850873674,0.028174780967364563,0.4544309967288641,0.3816884629593793
9,2006-11-01,2008-04-01,0.7142207962193807,0.011769105676308764,0.014927705920607525,1.1085004045573091e-07,0.04273169002758816,0.013268630161595253,0.4893176881640209,0.421226713252557
10,2006-12-01,2008-05-01,0.69637574162721,0.013242897702394056,0.014600257230717423,1.894491877610358e-07,0.028937964306143926,0.01813283199907835,0.4895907529596353,0.42153618668758663
11,2007-01-01,2008-06-01,0.7253764755442231,0.017485373077085635,0.015752710323187685,5.822941499106377e-09,0.002113895971492677,0.0038873882161506827,0.6546079229597834,0.6085556460210879
12,2007-02-01,2008-07-01,0.7277461395913298,0.01746531565633267,0.02011745778949381,1.4300083383593544e-09,0.0012715653270579112,0.00037325146240373554,0.724893064678878,0.6882121399693951
13,2007-03-01,2008-08-01,0.7062866476520093,0.01937521451060353,0.01991953789138102,6.856872447518899e-09,0.0008502188952239298,0.0008756052117030503,0.7112804536234073,0.6727845141065283
14,2007-04-01,2008-09-01,0.6849993605143714,0.018733135604798327,0.020475954232182327,8.957245967338652e-09,0.0011875832809339312,0.00047895117756042543,0.7195248102455164,0.6821281182782519
15,2007-05-01,2008-10-01,0.6994691903145374,0.020970628251323176,0.02129346964898716,7.721952850253629e-09,0.0003647933311934874,0.00030735729577098,0.7436467377433928,0.7094663027758452
16,2007-06-01,2008-11-01,0.6703540226003083,0.01893843640528422,0.026073836794666107,2.206179072786501e-07,0.0035079913213838377,0.0002632954794894342,0.6681040406745126,0.623851246097781
17,2007-07-01,2008-12-01,0.5407789894079182,0.01796974295386474,0.01883275197956942,0.0005421748913980271,0.0662386589668323,0.054996914759375085,0.3267815168190572,0.23701905239493148
18,2007-08-01,2009-01-01,0.4042032316209871,0.007934774241380914,0.01823912896097487,0.010741298347743336,0.4644108282389636,0.09113226413025743,0.19209836366233957,0.08437814548398481
19,2007-09-01,2009-02-01,0.24681206936096747,-0.0014146048530144645,0.008380798362490218,0.15120749904246666,0.9144801042872757,0.4982207726210067,0.03638311075288736,-0.09209914114672757
20,2007-10-01,2009-03-01,0.0729889940377841,-0.011539912189992927,-0.005278765535441961,0.6073659238383811,0.28926013629290537,0.6374591403780957,0.07632256628084377,-0.0468344248817103
21,2007-11-01,2009-04-01,-0.03755914833260706,-0.01823082803437409,-0.010936724760881582,0.7106155113912573,0.030979379522165854,0.16933889946416233,0.299187467448189,0.20574579644128088
22,2007-12-01,2009-05-01,0.01535185628142248,-0.012500155242628234,-0.008652222751873434,0.8876145021263677,0.16707503258172107,0.3184272012035663,0.15490182131066965,0.04222206415209229
23,2008-01-01,2009-06-01,0.08389982471804062,-0.007322121698253918,-0.004878411571502421,0.4728666153320209,0.44118302031306533,0.6139830170567736,0.05403121339304717,-0.07209795815454645
24,2008-02-01,2009-07-01,0.13302652833103362,-0.0009535371520806519,-0.0013518643555024369,0.2851530689441648,0.925067748090536,0.8950314912875059,0.0020421302998683277,-0.1310189189934825
25,2008-03-01,2009-08-01,0.15442904121997192,-0.006398481851750987,0.005635810404910165,0.2312553169708222,0.512620761319494,0.5925479601674859,0.0481617385118116,-0.07875002968661349
26,2008-04-01,2009-09-01,0.1913682649313262,-0.004445460424112807,-0.000625215028748914,0.17365583022628286,0.6913146851160226,0.9526018618552444,0.010913982006494627,-0.12096415372597269
27,2008-05-01,2009-10-01,0.21291382488709096,-0.003239204033850457,0.0027298874102034913,0.14034319394856545,0.7774787767781122,0.8124255975808461,0.00920911134711655,-0.12289634047326792
28,2008-06-01,2009-11-01,0.2528869677792751,-0.0009043300832992885,0.004908771063272163,0.10280566072932708,0.9409707698084201,0.6881973751121458,0.011232097104113659,-0.12060362328200447
29,2008-07-01,2009-12-01,0.29117385997829964,0.001454598889909826,0.007770496073676435,0.08462314187162973,0.919309296854901,0.5544918209356553,0.024444087830738037,-0.10563003379183011
